RUSH SR Race 4 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,56,Ryan Leach,SR,55.431,15,16,,25
2,8,Blair Hosie,SR,55.639,5,16,3.570,21
3,70,James French,SR,55.805,16,16,0.343,18
4,34,Andy Voelkel,SR,55.815,6,16,2.035,16
5,114,Bryce Mersberger,SR,55.404,14,16,2.497,15
6,7,Nico Bratz,SR,56.218,5,16,4.206,14
7,74,Jason Oehler,SR,56.332,6,16,10.127,13
8,12,Bret Digiacomo,SR,56.696,10,16,1.997,12
9,31,Michael Perrotti,SR,56.942,4,16,0.997,11
10,144,Nate Hamilton,SR,57.250,8,16,2.317,10
11,33,Ethan Alexander,SR,56.973,14,16,3.005,9
12,51,Gage Hughes,SR,57.079,14,16,0.556,8
13,13,Lee Kellert,SR,57.063,9,16,0.121,7
14,188,Matt Wilson,SR,57.026,15,16,0.092,6
15,88,Jaylan Battley,SR,56.708,14,16,0.036,5
16,22,Jeremy Boysen,SR,57.558,5,16,5.402,4
17,28,Tj Hunt,SR,57.143,8,16,3.042,3
18,59,Larry Brady,SR,58.072,5,16,8.169,2
19,77,Jake Sanders,SR,57.793,6,15,1 Lap,1
20,171,Michael Woodward,SR,59.128,3,15,10.438,0
21,148,Joseph Tang,SR,58.935,4,15,2.649,0
22,20,Bill Dorrance,SR,59.229,4,15,0.298,0
23,29,Jeff Hardesty,SR,59.781,7,15,3.069,0
24,71,Paul Klich,SR,1:00.213,9,15,9.699,0
25,227,Aj Campo,SR,1:00.032,7,8,7 Laps,0
DQ,121,Aryton Grim,SR,56.941,8,16,,0
Incident involving Cars 35 and 51 has been reviewed - No Action,,,,,,,,
Penalty Car 227: Incident Responsibility Minor with Car 29 - Loss of 10 finishing positions,,,,,,,,
Penalty Car 121: Incident Responsibility Major with Car 28 - Disqualified,,,,,,,,Official results 8/16 16:24
