Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,41,James Houghton,UNLIMITED - FWD,1:26.099,Integra
2,314,Michael Puglisi,TRACK MODIFIED - AWD,1:31.977,Evolution
3,84,Andy Smedegard,TRACK MODIFIED - RWD,1:32.692,M3
4,70,Six Star Motorsports,STREET MODIFIED - AWD,1:34.450,Impreza L
5,83,Alex Moss,STREET MODIFIED - RWD,1:34.473,S2000
6,6,Michael Aumick,STREET MODIFIED - AWD,1:36.502,WRX STI
7,21,Evolve Autosport,STREET MODIFIED - RWD,1:36.865,M3
8,771,Aric Streeter,UNLIMITED - RWD,1:37.157,7
9,449,Luigi Montanez,TRACK MODIFIED - AWD,1:37.642,INTEGRA
10,334,John Koster,UNLIMITED - FWD,1:37.926,Civic
11,56,Charles Miller,STREET - AWD,1:38.272,Evo IX
12,759,Darby Barber,STREET MODIFIED - RWD,1:38.825,miata
13,777,Joshua Halka,STREET - AWD,1:38.970,WRX
14,28,Peter Zhang,STREET MODIFIED - AWD,1:39.282,WRX
15,128,josh hanger,STREET MODIFIED - RWD,1:39.310,rx7
16,748,Devin Giles,TRACK MODIFIED - RWD,1:39.383,S2000
17,298,Anthony Novelli,STREET MODIFIED - AWD,1:39.761,STI
18,36,Ben Mich,STREET MODIFIED - RWD,1:40.511,RX-7
19,174,James Rauck,STREET - FWD,1:40.784,Type R
20,558,Joseph Mielke,STREET - AWD,1:40.804,Impreza STi
21,170,Vito Jin,STREET - RWD,1:41.301,M3
22,68,Tony Desero,TRACK MODIFIED - RWD,1:41.521,m3
23,151,David McCallister,TRACK MODIFIED - AWD,1:41.522,Lancer Evo IX
24,139,Kevin Head,STREET MODIFIED - RWD,1:41.533,RX7
25,23,Nilesh Patel,STREET MODIFIED - AWD,1:41.833,Evo
26,9,Ryan Frew,STREET - RWD,1:42.009,Boxster S
27,531,Evan Weider,STREET - FWD,1:42.382,Civic
28,625,Sam Bosnian,STREET - RWD,1:42.558,350z Nismo
29,176,Andy Voelkel,TRACK MODIFIED - RWD,1:42.634,Corvette
30,129,Brap- ish,STREET - RWD,1:42.971,S2000
31,164,Ken Devriese,STREET - RWD,1:45.063,S2000
32,103,Max Schrager,STREET - AWD,1:45.164,wrx sti
33,11,Brandon Ham,STREET GT - RWD,1:45.483,911 S
34,268,Kaval Vilkhu,STREET MODIFIED - FWD,1:45.644,Civic
35,624,Tyler Vogt,STREET - RWD,1:45.765,Camaro LT
36,31,BART GOLDENBELD,ROADSTER MODIFIED - RWD,1:46.428,Miata
37,621,Troy Mass,STREET - RWD,1:48.214,BRZ
38,266,Jim Kenevan,STREET - RWD,1:48.399,BRZ
39,89,James Kelly,STREET - RWD,1:49.216,BRZ
40,262,Julian Mancuso,STREET - RWD,1:49.723,FRS
41,161,Ernestas Puzelis,TRACK MODIFIED - RWD,1:51.770,370z
42,48,Torry Skurski,STREET - RWD,1:52.162,328i
43,192,Michael Horn,STREET - FWD,1:52.303,Jetta
44,323,Michael Peters,STREET - RWD,1:52.603,S2000
45,158,Joseph Dale,STREET MODIFIED - RWD,1:53.331,S2000
46,62,Brian Blaine,TRACK MODIFIED - RWD,1:56.213,Rx7
47,99,jake kistka,STREET - FWD,1:59.228,Civic si
48,93,Alexander Mishra,SUNDAE CUP / SPECFIT - FWD,2:00.390,Fit
49,73,David Hornburg,ROADSTER MODIFIED - RWD,2:25.671,Miata
50,44,Joel Phillips,ROADSTER MODIFIED - RWD,,Miata
