Qualifying 3 Results - All Groups *wet,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,84,Ido Waksman,STREET GT - RWD,2:24.191,Corvette
2,687,Jackie Ding,STREET GT - RWD,2:27.734,M2
3,210,Devon Meadows,TRACK MOD - AWD,2:27.969,WRX
4,369,Igor Kesilyov,TRACK MOD - AWD,2:31.616,Model 3 Performance
5,79,Nicholas Kohrs,STREET MOD - FWD,2:31.796,Civic
6,34,Andy Voelkel,STREET GT - RWD,2:32.034,Corvette
7,910,Jared Sable,STREET GT - RWD,2:33.080,CTS
8,449,Colin Fitzgerald,TRACK MOD - AWD,2:34.339,WRX
9,187,Keenan Prusank,STREET GT - RWD,2:35.305,Camaro
10,109,Dana Basinski,CLUB TR - RWD,2:36.704,Brz
11,160,Christopher Hatch,TRACK MOD - AWD,2:37.253,Model 3
12,27,Brad Perkins,UNLIMITED - RWD,2:37.395,M3
13,470,Edward Segal,STREET - FWD,2:37.553,Civic Type R
14,570,Kyle Magnuson,STREET GT - RWD,2:38.705,Cayman GT4
15,21,Devin Herndon,STREET - AWD,2:39.930,GLA45 AMG
16,994,Nathan Brown,STREET - FWD,2:40.936,Gti
17,513,Justin Ruble,STREET GT - RWD,2:41.852,M2
18,316,Joseph Muench,TRACK MOD - AWD,2:42.050,Impreza
19,77,Jason Kanakry,TRACK MOD - RWD,2:42.586,720S
20,781,Lyle Zyra,CLUB TR - RWD,2:42.633,GR86
21,338,Ernestas Puzelis,UNLIMITED - RWD,2:44.373,370Z
22,323,Freddy De La Rosa,CLUB TR - RWD,2:44.494,S2000
23,364,Nicholas Hendrix,STREET GT - RWD,2:44.730,Corvette
24,777,Josh Halka,STREET - AWD,2:44.866,WRX
25,16,Rudolph Xu,STREET - AWD,2:45.310,Model 3
26,71,Kevin Horn,STREET GT - RWD,2:45.834,Camaro
27,399,Kevin Kerr,STREET - AWD,2:46.026,Evolution
28,231,Team NRB,CLUB TR - FWD,2:47.745,Celica
29,517,Tim Lutz,STREET MOD - RWD,2:48.823,Corvette
30,724,Vijay Lorick,STREET - FWD,2:48.961,Elantra N
31,418,Blake Fitzgerald,CLUB TR - RWD,2:49.035,S2000
32,221,Justin Kennedy,STREET - FWD,2:49.103,Cooper S
33,495,Richard Cho,STREET - RWD,2:49.171,370z
34,69,Cody Umbaugh,STREET - FWD,2:49.403,Civic
35,220,Jesse Echanique,TRACK MOD - AWD,2:49.779,Eclipse
36,321,Phillip Jue,STREET MOD - RWD,2:49.980,350Z
37,736,Cody Smith,STREET MOD - RWD,2:51.077,Cutlass
38,312,Ryan Schabel,CLUB TR - RWD,2:51.436,E46
39,669,Andrew Purvis,STREET GT - RWD,2:51.907,Corvette
40,395,Michael Smith,SUNDAE CUP - FWD,2:51.975,Fit
41,880,Dead Boiz,CLUB TR - RWD,2:52.210,FR-S
42,997,Jason Gaydos,STREET - RWD,2:52.372,BRZ
43,28,Knottfast Motorsports,CLUB TR - RWD,2:54.926,FR-S
44,419,James Bates,STREET GT - RWD,2:55.386,Trans Am
45,91,Chris Rice,SUNDAE CUP - FWD,2:56.299,Fit
46,126,Jacob Abbott,SUNDAE CUP - FWD,2:56.517,Fit
47,235,Anthony Novelli,SUNDAE CUP - FWD,2:57.077,Fit
48,373,Benjamin Smolen,STREET GT - RWD,2:57.336,Mustang
49,3,CJ Mantel,STREET MOD - AWD,2:57.749,A4
50,80,Chris Nahill,CLUB TR - RWD,2:58.791,BRZ
51,357,Luis Rodriguez,SUNDAE CUP - FWD,2:59.218,Fit
52,313,Dily Daly,SUNDAE CUP - FWD,3:00.064,Fit
53,370,Ivan Onofriiciuc,STREET - RWD,3:02.431,370z
54,545,Danny Kruger,SUNDAE CUP - FWD,3:02.900,Fit
55,75,Jerome Cahuzac,STREET GT - RWD,3:03.083,M2
56,15,Adam Wrobel,CLUB TR - FWD,3:04.383,Integra
57,230,Daniel Persing,CLUB TR - RWD,3:04.643,BRZ
58,92,Nate Vincent,UNLIMITED - RWD,3:05.218,190E Evo
59,365,Bill Washburn,TRACK MOD - RWD,3:05.229,E9
60,120,Scott Shadbolt,TRACK MOD - RWD,3:05.350,M3
61,184,Trip Walker,SUNDAE CUP - FWD,3:06.293,Fit
62,1,Chris Wolf,SUNDAE CUP - FWD,3:07.414,Fit
63,505,Isaac Rodriguez,SUNDAE CUP - FWD,3:20.606,2
64,44,Joel Phillips,STREET GT - RWD,,911 Carrera S
65,10,Ian Brown,STREET MOD - FWD,,Cooper S
66,20,Matthew Koval,CLUB TR - RWD,,S2000
