Practice 1 Results - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,52,SerpentStangs Racing,UNLIMITED - RWD,2:04.130,Shelby GT500
2,14,Kal Fortner,STREET MOD - RWD,2:04.307,AMG GTS
3,77,Jason Kanakry,TRACK MOD - RWD,2:04.924,720S
4,33,Chris Boersma,TRACK MOD - FWD,2:06.010,Civic
5,121,Ryan Mathews,STREET MOD - RWD,2:06.206,Corvette
6,687,Jackie Ding,STREET GT - RWD,2:07.175,M2
7,34,Andy Voelkel,STREET GT - RWD,2:07.307,Corvette
8,333,Anthony Barber,STREET - AWD,2:08.575,Model 3 Performance
9,82,Jaime Santos,STREET MOD - RWD,2:08.632,135i
10,210,Devon Meadows,TRACK MOD - AWD,2:09.142,WRX
11,17,Alex Artayet,STREET GT - RWD,2:09.329,M3
12,316,Joseph Muench,TRACK MOD - AWD,2:09.961,Impreza
13,363,Michael Kubiak,STREET GT - RWD,2:10.165,Corvette
14,781,Lyle Zyra,CLUB TR - RWD,2:10.737,GR86
15,71,Kevin Horn,STREET GT - RWD,2:11.219,Camaro
16,40,Ben Bulthuis,STREET GT - RWD,2:11.241,GR Supra
17,470,Edward Segal,STREET - FWD,2:11.393,Civic Type R
18,570,Kyle Magnuson,STREET GT - RWD,2:11.434,Cayman GT4
19,8,Andrew Mishra,STREET GT - RWD,2:11.638,Cayman GT4
20,109,Dana Basinski,CLUB TR - RWD,2:11.644,Brz
21,513,Justin Ruble,STREET GT - RWD,2:11.822,M2
22,323,Freddy De La Rosa,CLUB TR - RWD,2:12.072,S2000
23,89,Brandon Hodge,STREET GT - RWD,2:12.134,GR Supra
24,7,Josh Halka,STREET - AWD,2:12.139,WRX
25,120,Scott Shadbolt,TRACK MOD - RWD,2:13.038,M3
26,79,Nicholas Kohrs,STREET MOD - FWD,2:13.756,Civic
27,2,Connor Gallagher,STREET GT - AWD,2:14.295,GTR
28,495,Richard Cho,STREET - RWD,2:14.499,370z
29,85,Vincent Nardone,STREET GT - RWD,2:14.849,Mustang
30,321,Phillip Jue,STREET MOD - RWD,2:15.438,350Z
31,364,Nicholas Hendrix,STREET GT - RWD,2:16.285,Corvette
32,220,Jesse Echanique,TRACK MOD - AWD,2:17.825,Eclipse
33,338,Ernestas Puzelis,UNLIMITED - RWD,2:18.019,370Z
34,129,Johnny Rose,CLUB TR - RWD,2:18.025,GR 86
35,44,Joel Phillips,STREET GT - RWD,2:18.159,911 Carrera S
36,399,Kevin Kerr,STREET - AWD,2:18.550,Evolution
37,21,Devin Herndon,STREET - AWD,2:19.341,GLA45 AMG
38,880,Dead Boiz,CLUB TR - RWD,2:20.146,FR-S
39,20,Matthew Koval,CLUB TR - RWD,2:20.456,S2000
40,119,Jess Tong,STREET - AWD,2:21.286,Model 3
41,69,Cody Umbaugh,STREET - FWD,2:21.360,Civic
42,373,Benjamin Smolen,STREET GT - RWD,2:21.473,Mustang
43,187,Keenan Prusank,STREET GT - RWD,2:21.666,Camaro
44,736,Cody Smith,STREET MOD - RWD,2:22.661,Cutlass
45,66,Mitchell Lepianka,STREET GT - AWD,2:23.775,440i
46,80,Chris Nahill,CLUB TR - RWD,2:24.373,BRZ
47,724,Vijay Lorick,STREET - FWD,2:24.558,Elantra N
48,92,Nate Vincent,UNLIMITED - RWD,2:24.575,190E Evo
49,313,Otto Munoz,CLUB TR - RWD,2:24.779,S2000
50,419,James Bates,STREET GT - RWD,2:25.111,Trans Am
51,418,Blake Fitzgerald,CLUB TR - RWD,2:25.645,S2000
52,66,Joshua Hatch,STREET - AWD,2:25.805,Model 3
53,611,Benjamin Carter,CLUB TR - RWD,2:27.384,S2000
54,517,Tim Lutz,STREET MOD - RWD,2:27.511,Corvette
55,10,Ian Brown,STREET MOD - FWD,2:27.629,Cooper S
56,221,Justin Kennedy,STREET - FWD,2:28.707,Cooper S
57,50,Knottfast Motorsports,CLUB TR - RWD,2:29.051,FR-S
58,231,Team NRB,CLUB TR - FWD,2:30.209,Celica
59,91,Chris Rice,SUNDAE CUP - FWD,2:31.442,Fit
60,997,Jason Gaydos,STREET - RWD,2:31.701,BRZ
61,994,Nathan Brown,STREET - FWD,2:32.358,Gti
62,230,Daniel Persing,CLUB TR - RWD,2:32.695,BRZ
63,75,Jerome Cahuzac,STREET GT - RWD,2:33.777,M2
64,395,Michael Smith,SUNDAE CUP - FWD,2:34.708,Fit
65,,Justin Okamoto,CLUB TR - RWD,2:36.284,318i
66,3,CJ Mantel,STREET MOD - AWD,2:37.397,A4
67,404,David Bamforth,TRACK MOD - RWD,2:38.494,Cayman GT4
68,126,Jacob Abbott,SUNDAE CUP - FWD,2:38.759,Fit
69,488,Matt Dietlin,SUNDAE CUP - FWD,2:40.050,Fit
70,1,Chris Wolf,SUNDAE CUP - FWD,2:44.180,Fit
71,313,Dily Daly,SUNDAE CUP - FWD,2:45.097,Fit
72,15,Adam Wrobel,CLUB TR - FWD,2:46.165,Integra
73,357,Luis Rodriguez,SUNDAE CUP - FWD,2:49.271,Fit
74,505,Isaac Rodriguez,SUNDAE CUP - FWD,2:50.704,2
75,777,Thomas Halka,STREET - AWD,2:50.816,Impreza
76,801,Daniel Malloy,SUNDAE CUP - FWD,2:52.218,2
77,400,Logan Manning,SUNDAE CUP - FWD,2:54.636,Fit
78,449,Colin Fitzgerald,TRACK MOD - AWD,5:47.403,WRX
79,426,Alex Roy,TRACK MOD - RWD,,M3
