Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
90,505,Bronson Furman,SUNDAE CUP - FWD,1:51.155,CRZ
91,594,Rory Lonergan,SUNDAE CUP - FWD,1:51.752,Fit
92,716,Mike Mills,SUNDAE CUP - FWD,1:52.257,Fiesta
93,301,Stewart Storm,SUNDAE CUP - FWD,1:53.434,Fit
94,139,Kevin Head,SUNDAE CUP - FWD,1:53.779,Fit
95,8,Chris Wolf,SUNDAE CUP - FWD,1:53.785,Fit
96,909,Becky Burton,SUNDAE CUP - FWD,1:55.692,2
97,801,Daniel Malloy,SUNDAE CUP - FWD,1:55.889,2
98,433,Bob Miller,SUNDAE CUP - FWD,1:56.245,Rio
99,725,Erik Voelkle,SUNDAE CUP - FWD,1:57.143,Fit
101,42,Brandt Vircks,SUNDAE CUP - FWD,2:04.897,Civic
