Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartomy,UNLIMITED - RWD,1:25.455,Corvette
2,776,Dallas Reed,UNLIMITED - RWD,1:30.395,RX-8
3,296,James Houghton,UNLIMITED - AWD,1:30.589,Evolution
4,70,Eric - Dewey DeWitt,STREET MODIFIED - AWD,1:31.441,Impreza
5,52,Nicholas Gardner,UNLIMITED - RWD,1:31.608,Mustang
6,460,Grant Walker,TRACK MODIFIED - RWD,1:31.904,MX-5 Miata
7,6,Aumick Michael,STREET MODIFIED - AWD,1:32.686,Impreza
8,79,Nicholas Kohrs,STREET MODIFIED - FWD,1:32.949,Civic
9,65,Ben Lin,STREET - AWD,1:33.274,Lancer
10,7,Joshua Halka,STREET - AWD,1:33.415,Impreza
11,14,Kal Fortner,STREET MODIFIED - RWD,1:33.481,GTS
12,350,Steve Luca,STREET GT - RWD,1:33.593,Mustang
13,176,Cody Hunt,STREET GT - RWD,1:34.052,Corvette
14,335,Chris Bickford,TRACK MODIFIED - RWD,1:34.449,Camaro
15,114,Bronson Mcnemar,TRACK MODIFIED - RWD,1:34.667,MX-5 Miata
16,63,Luca Barberis,STREET - AWD,1:34.788,Lancer
17,560,Jacob Besemer,STREET GT - RWD,1:35.200,Camaro
18,35,Alex Westergaard,STREET MODIFIED - RWD,1:35.521,S2000
19,77,Alex Artayet,STREET GT - RWD,1:35.660,M3
20,333,Tony Barber,STREET - AWD,1:35.674,Model 3
21,34,Andy Voelkel,STREET GT - RWD,1:35.791,Corvette
22,74,Grant Davidson,CLUB TR - FWD,1:35.898,Integra
23,327,Scott Knick,UNLIMITED - RWD,1:36.034,Corvette
24,66,Ben Thorn,CLUB TR - FWD,1:36.214,Civic
25,33,Chris Boersma,TRACK MODIFIED - FWD,1:36.417,Civic
26,363,Michael Kubiak,STREET GT - RWD,1:36.440,Corvette
27,109,Dana Basinski,CLUB TR - RWD,1:36.668,BRZ
28,310,Mike Coons,STREET - AWD,1:36.840,Impreza
29,89,Brandon Hodge,STREET GT - RWD,1:36.987,GR Supra
30,197,Kendall Samuel,TRACK MODIFIED - AWD,1:37.163,Impreza
31,531,Evan Weider,CLUB TR - FWD,1:37.247,Civic
32,628,Matt Simpkins,STREET MODIFIED - RWD,1:37.519,GR Supra
33,462,Connor Gallagher,STREET GT - AWD,1:37.662,GTR
34,511,Peter Granberg,CLUB TR - RWD,1:37.695,BRZ
35,627,Mario Mirone,CLUB TR - FWD,1:38.359,Civic
36,44,Joel Phillips,TRACK MODIFIED - RWD,1:38.430,911
37,314,Michael Puglisi,TRACK MODIFIED - AWD,1:38.650,Lancer
38,533,Joseph Dale,STREET GT - RWD,1:38.905,M4
39,21,Teagan Thostenson,STREET - AWD,1:39.003,Impreza
40,12,Matthew Koval,CLUB TR - RWD,1:39.140,S2000
41,470,Eddy Segal,STREET - FWD,1:39.223,Civic
42,206,Dalton Klein,TRACK MODIFIED - RWD,1:39.853,Corvette
43,284,Ido Waksman,CLUB TR - RWD,1:40.360,128
44,869,Kevin Vo,CLUB TR - RWD,1:40.465,FR-S
45,351,Michael Barnes,STREET GT - RWD,1:40.584,Mustang
46,742,Rico Valdez,STREET GT - RWD,1:40.872,Corvette
47,736,Cody Smith,STREET MODIFIED - RWD,1:41.193,Cutlass
48,95,Darian Taggart,CLUB TR - RWD,1:41.773,S2000
49,525,Christopher Quashnie,TRACK MODIFIED - RWD,1:41.816,Camaro
50,13,Jerami Bailey,CLUB TR - RWD,1:42.053,FR-S
51,747,John Butler,STREET MODIFIED - RWD,1:42.147,M3
52,330,Jeff Pinera,CLUB TR - FWD,1:43.230,CSX
53,444,Brian Smith,STREET MODIFIED - FWD,1:43.271,Golf GTI
54,28,Knottfast Motorsports,CLUB TR - RWD,1:43.525,FR-S
55,238,Garrett Gloceri,CLUB TR - RWD,1:44.085,RX-8
56,234,Brad Riemann,STREET - AWD,1:44.108,Focus
57,320,Nathan Poulson,CLUB TR - RWD,1:44.436,BRZ
58,700,Tom Halka,STREET - AWD,1:44.709,Impreza
59,199,Ian Flavin,CLUB TR - RWD,1:44.886,BRZ
60,519,Malindima Sampa,STREET - RWD,1:45.573,350Z
61,510,Piero Pucci,CLUB TR - RWD,1:46.463,FR-S
62,75,Jerome Cahuzac,STREET GT - RWD,1:46.694,M2
63,517,Tim Lutz,STREET MODIFIED - RWD,1:46.745,Corvette
64,117,Jared Garcia,STREET - AWD,1:47.255,IS 300
65,129,Matt Williams,SUNDAE CUP - FWD,1:48.997,Fit
66,1,DJ Alessandrini,SUNDAE CUP - FWD,1:50.395,Fit
67,130,Jim Smitholene,SUNDAE CUP - FWD,1:50.529,Fit
68,62,Brian Blaine,TRACK MODIFIED - RWD,1:50.611,RX-7
69,826,Jake Abbott,SUNDAE CUP - FWD,1:51.144,Fit
70,395,Michael-Ross Smith,SUNDAE CUP - FWD,1:51.401,Fit
71,233,Dylan Rodgers,CLUB TR - RWD,1:51.754,MX-5 Miata
72,370,Sam Deuling,SUNDAE CUP - FWD,1:51.815,Fit
