Heat 7 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,5,Luke McGrew,TRACK MODIFIED - RWD,1:31.273,Viper ACR
2,130,Coby Shield,STREET GT - RWD,1:36.109,Camaro
3,77,Alex Artayet,STREET MODIFIED - AWD,1:36.741,WRX STI
4,61,David Kramar,TRACK MODIFIED - RWD,1:36.820,Camaro ZL1
5,777,Joshua Halka,STREET - AWD,1:37.474,WRX
6,101,Craig Krzywicki,TRACK MODIFIED - RWD,1:39.851,Brz
7,36,Ben Mich,STREET MODIFIED - RWD,1:40.076,RX-7
8,60,Mark Brylo,STREET - AWD,1:40.178,Lancer Evolution
9,7,Scott Merker,ROADSTER MODIFIED - RWD,1:40.618,MX-5
10,404,Donald TsunMin Lui,STREET - RWD,1:40.636,frs
11,159,Joshua Rubenstein,ROADSTER MODIFIED - RWD,1:40.703,Miata
12,59,Justin Crenshaw,TRACK MODIFIED - FWD,1:40.902,xA
13,169,Angel Roman,STREET MODIFIED - AWD,1:41.850,WRX STI
14,20,Erik Meadows,TRACK MODIFIED - RWD,1:43.961,Miata
15,81,Benjamin Marouski,STREET - FWD,1:44.305,Cooper
16,42,Ben Bulthuis,TRACK MODIFIED - FWD,1:44.325,CRX
17,213,Karl Hertel,TRACK MODIFIED - FWD,1:44.390,Odyssey
18,621,Troy Mass,STREET - RWD,1:44.818,BRZ
19,17,Orlando Figueroa,TRACK MODIFIED - RWD,1:44.971,S2000
20,134,David Albrecht,STREET - RWD,1:45.817,RX-8
21,117,Nishanth Samala,STREET - RWD,1:46.703,BRZ
22,121,Joseph King,STREET - FWD,1:47.942,Festiva
23,25,Cote Taylor,STREET - RWD,1:48.525,Rx8
24,37,Ivan Adamiec,STREET MODIFIED - AWD,1:50.076,90
25,80,William Shelter,STREET GT - RWD,1:56.404,Mustang GT
26,714,Blue By You Racing,UNLIMITED - RWD,,Mustang
