Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,213,Karl Hertel,TRACK MODIFIED - FWD,1:53.743,Odyssey
2,777,Joshua Halka,STREET - AWD,1:56.065,WRX
3,25,Cote Taylor,STREET - RWD,1:58.651,Rx8
4,130,Coby Shield,STREET GT - RWD,2:00.477,Camaro
5,60,Mark Brylo,STREET - AWD,2:00.692,Lancer Evolution
6,7,Scott Merker,ROADSTER MODIFIED - RWD,2:00.911,MX-5
7,37,Ivan Adamiec,STREET MODIFIED - AWD,2:01.321,90
8,343,Matt Thompson,STREET - FWD,2:01.430,Civic
9,404,Donald TsunMin Lui,STREET - RWD,2:01.648,frs
10,169,Angel Roman,STREET MODIFIED - AWD,2:04.542,WRX STI
11,5,Luke McGrew,TRACK MODIFIED - RWD,2:04.818,Viper ACR
12,20,Erik Meadows,TRACK MODIFIED - RWD,2:05.885,Miata
13,121,Joseph King,STREET - FWD,2:09.450,Festiva
14,159,Joshua Rubenstein,ROADSTER MODIFIED - RWD,2:10.803,Miata
15,18,Drew Turner,STREET MODIFIED - RWD,2:15.308,s2000
16,102,emil blanco,STREET - RWD,2:16.618,fr-s
17,80,William Shelter,STREET GT - RWD,2:20.036,Mustang GT
