GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,272,Larry Moore,GLTC - RWD,1:29.175,8,9,,25
2,224,Michael Hillo,GLTC - RWD,1:29.240,5,9,5.558,21
3,469,Oscar Jackson,GLTC - RWD,1:30.896,4,9,6.992,18
4,207,Adam Wood,GLTC - AWD,1:30.776,2,9,9.952,16
5,401,Nikita Rushmano,GLTC - RWD,1:32.619,2,9,4.431,15
6,20,George Koustoumbardis,GLTC - RWD,1:32.420,6,9,0.498,14
7,806,Adam Bao,GLTC - FWD,1:32.119,4,9,11.049,13
8,94,Jonathan Lugod,GLTC - FWD,1:31.836,5,5,4 Laps,12
