GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,224,Michael Hillo,GLTC - RWD,1:29.855,3
2,272,Larry Moore,GLTC - RWD,1:30.136,2
3,469,Oscar Jackson,GLTC - RWD,1:30.762,1
4,440,Daniel Giraldo,GLTC - RWD,1:30.903,0
5,94,Jonathan Lugod,GLTC - FWD,1:31.192,0
6,401,Nikita Rushmano,GLTC - RWD,1:33.104,0
7,207,Adam Wood,GLTC - AWD,1:34.082,0
8,806,Adam Bao,GLTC - FWD,1:34.579,0
9,20,George Koustoumbardis,GLTC - RWD,1:35.070,0
