GLTC Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,90,Matt Waldbaum,GLTC - RWD,1:39.326,8,9,,25
2,484,Matan Rosenberg,GLTC - RWD,1:39.447,7,9,0.974,21
3,212,Andy Smedegard,GLTC - RWD,1:39.460,7,9,0.432,18
4,224,Michael Hillo,GLTC - RWD,1:39.549,5,9,4.308,16
5,166,Ben Thorn,GLTC - FWD,1:39.522,5,9,1.095,15
6,272,Larry Moore,GLTC - RWD,1:39.564,4,9,0.234,14
7,184,Eric Jensen,GLTC - RWD,1:40.561,8,9,10.252,13
8,911,Julio Crispin,GLTC - RWD,1:40.208,3,9,0.774,12
9,320,Eddie Nakato,GLTC - RWD,1:40.397,4,9,0.936,11
10,246,Oscar Jackson,GLTC - RWD,1:40.759,5,9,2.635,10
11,11,Alex Audi,GLTC - RWD,1:40.621,9,9,2.190,9
12,527,Jackson Jensen,GLTC - RWD,1:41.530,6,9,4.791,8
13,173,Anthony Domenici,GLTC - RWD,1:41.939,7,9,3.358,7
14,47,Justin Ross,GLTC - RWD,1:42.212,7,9,1.189,6
15,40,Jeremy Boysen,GLTC - FWD,1:41.816,7,9,0.361,5
16,207,Adam Wood,GLTC - AWD,1:42.063,5,9,2.613,4
17,888,Dai Nguyen,GLTC - RWD,1:42.207,8,9,2.462,3
18,28,Peter Zhang,GLTC - RWD,1:41.838,8,9,0.586,2
19,410,Shukla Salil,GLTC - RWD,1:41.970,7,9,2.819,1
20,73,Jason Saini,GLTC - RWD,1:39.476,4,9,0.053,0
21,29,Jerick Javier,GLTC - RWD,1:42.286,5,9,4.341,0
22,117,Rob Fuller,GLTC - RWD,1:44.154,9,9,2.382,0
23,806,Adam Bao,GLTC - FWD,1:43.617,9,9,0.937,0
24,20,George Koustoumbardis,GLTC - RWD,1:43.940,4,9,0.362,0
25,87,Nicholas Stentiford,GLTC - RWD,1:42.771,4,9,0.090,0
26,333,Fiona Lou,GLTC - RWD,1:42.716,7,9,0.178,0
27,128,John Borchelt,GLTC - RWD,1:43.885,6,9,8.463,0
28,149,Jonathan Lugod,GLTC - RWD,1:43.143,8,9,4.068,0
29,104,Ben Lin,GLTC - RWD,1:46.436,3,9,10.237,0
30,353,Mark Sadang,GLTC - FWD,1:45.467,4,8,1 Lap,0
31,145,Alexander Tarradellesnewell,GLTC - FWD,1:44.935,2,3,5 Laps,0
32,17,Tony Marchev,GLTC - RWD,1:40.913,2,2,1 Lap,0
33,51,David Rudzinski,GLTC - RWD,1:50.314,2,2,23.562,0
