GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,272,Larry Moore,GLTC - RWD,1:39.630,4,7,,25
2,484,Matan Rosenberg,GLTC - RWD,1:39.812,5,7,0.200,21
3,212,Andy Smedegard,GLTC - RWD,1:39.809,6,7,0.494,18
4,224,Michael Hillo,GLTC - RWD,1:39.446,5,7,1.447,16
5,90,Matt Waldbaum,GLTC - RWD,1:38.997,3,7,1.972,15
6,911,Julio Crispin,GLTC - RWD,1:39.276,3,7,0.023,14
7,166,Ben Thorn,GLTC - FWD,1:39.318,4,7,0.349,13
8,17,Tony Marchev,GLTC - RWD,1:40.353,4,7,5.399,12
9,527,Jackson Jensen,GLTC - RWD,1:41.171,5,7,2.682,11
10,184,Eric Jensen,GLTC - RWD,1:41.113,2,7,0.832,10
11,320,Eddie Nakato,GLTC - RWD,1:40.981,2,7,0.295,9
12,73,Jason Saini,GLTC - RWD,,0,7,0.560,8
13,40,Jeremy Boysen,GLTC - FWD,1:41.499,3,7,2.827,7
14,144,Vytis Aranauskas,GLTC - RWD,1:40.731,6,7,1.633,6
15,173,Anthony Domenici,GLTC - RWD,1:40.546,6,7,1.028,5
16,410,Salil Shukla,GLTC - RWD,1:41.754,6,7,4.586,4
17,29,Jerick Javier,GLTC - RWD,1:41.972,7,7,0.595,3
18,888,Dai Nguyen,GLTC - RWD,1:41.968,7,7,1.496,2
19,11,Alex Audi,GLTC - RWD,1:42.594,2,7,5.414,1
20,87,Nicholas Stentiford,GLTC - RWD,1:42.769,7,7,5.166,0
21,207,Adam Wood,GLTC - AWD,1:41.650,3,7,1.869,0
22,128,John Borchelt,GLTC - RWD,1:43.406,3,7,1.279,0
23,806,Adam Bao,GLTC - FWD,1:43.188,5,7,0.677,0
24,333,Fiona Lou,GLTC - RWD,1:43.212,7,7,0.222,0
25,51,David Rudzinski,GLTC - RWD,1:46.088,7,7,14.388,0
26,149,Jonathan Lugod,GLTC - RWD,1:45.255,2,7,1.184,0
27,353,Mark Sadang,GLTC - FWD,1:45.604,3,7,24.500,0
28,20,George Koustoumbardis,GLTC - RWD,1:43.479,3,6,1 Lap,0
29,28,Peter Zhang,GLTC - RWD,1:42.827,3,4,2 Laps,0
30,246,Oscar Jackson,GLTC - RWD,,0,,4 Laps,0
