Qualifying 1 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
5,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:55.470,FIT
6,488,Matt Dietlin,SUNDAE CUP - FWD,1:56.078,FIT
7,122,Jason Davidson,SUNDAE CUP - FWD,1:58.133,FIT
8,133,Dily Daly,SUNDAE CUP - FWD,2:01.267,FIT
9,269,Christian Wendland,SUNDAE CUP - FWD,2:02.749,FIT
10,1,Chris Wolf,SUNDAE CUP - FWD,2:04.770,FIT
1,77,Jason Kanakry,TRACK MOD - RWD,1:33.152,720S
2,33,Chris Boersma,TRACK MOD - FWD,1:35.199,CIVIC
3,114,Bronson Mcnemar,TRACK MOD - RWD,1:36.930,MX-5 MIATA
4,206,Dalton Klein,TRACK MOD - RWD,1:37.683,CORVETTE
5,162,Brian Blaine,TRACK MOD - RWD,1:37.695,RX7
6,12,Andrew Sonnevil,TRACK MOD - RWD,1:38.244,MX-5 MIATA
7,19,Josh Powers,TRACK MOD - RWD,1:40.044,CORVETTE
8,98,Steven Stewart,TRACK MOD - AWD,1:41.809,IMPREZA
9,64,Alex Westergaard,TRACK MOD - RWD,1:42.866,S2000
10,92,Nate Vincent,TRACK MOD - RWD,1:43.293,190E
11,191,Jessica Powers,TRACK MOD - RWD,1:47.394,CORVETTE
12,314,Michael Puglisi,TRACK MOD - AWD,,LANCER
1,911,Jim Rauck,UNLIMITED - RWD,1:32.938,GT2RS
2,338,Ernestas Puzelis,UNLIMITED - RWD,1:36.076,CORVETTE C6
3,22,Dallas Reed,UNLIMITED - RWD,1:37.563,RX-8
4,171,Andrius Bertulis,UNLIMITED - RWD,1:41.364,RCF
5,165,Jeremy Salenius,UNLIMITED - RWD,1:43.554,MUSTANG
