GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,1:52.789,6,6,,25
2,90,Matt Waldbaum,GLTC - RWD,1:52.757,6,6,0.761,21
3,46,Ryan Kristoff,GLTC - FWD,1:55.721,6,6,3.370,18
4,330,Eric Magnussen,GLTC - RWD,1:55.040,6,6,0.903,16
5,82,Eric Kutil,GLTC - FWD,1:54.204,6,6,0.308,15
6,129,James Cathers,GLTC - RWD,1:54.433,6,6,0.441,14
7,243,Kevin Zhu,GLTC - FWD,1:54.714,6,6,0.931,13
8,83,Carlos Mendez,GLTC - RWD,1:55.725,6,6,1.357,12
9,2,Aryton Grim,GLTC - RWD,1:56.215,6,6,2.305,11
10,28,Peter Zhang,GLTC - RWD,1:57.459,6,6,3.835,10
11,200,RJ Till,GLTC - RWD,1:57.814,6,6,0.730,9
12,484,Matan Rosenberg,GLTC - RWD,1:58.293,6,6,0.990,8
13,71,Joel Morrison,GLTC - RWD,1:59.420,6,6,,7
14,84,Thomas Lathrop,GLTC - RWD,1:59.166,6,6,3.287,6
15,1,Gary Wimble,GLTC - RWD,2:03.097,5,6,5.873,5
16,610,Benjamin Swanson,GLTC - AWD,2:04.736,5,6,6.485,4
17,33,Justin Lee,GLTC - RWD,2:05.663,5,6,5.386,3
18,23,Brian Santiago,GLTC - FWD,2:06.267,5,6,0.698,2
19,462,Natalie Latoz,GLTC - RWD,2:05.900,5,6,1.531,1
20,16,Robert Mcdaniels,GLTC - FWD,2:04.062,6,6,3.026,0
21,944,Dan Precourt,GLTC - RWD,2:05.914,6,6,3.113,0
22,131,Lisa Keyes,GLTC - FWD,2:13.103,5,6,15.042,0
23,37,Bryan Leonard,GLTC - RWD,2:05.891,5,5,1 Lap,0
24,184,Eric Jensen,GLTC - RWD,2:00.230,1,1,4 Laps,0
25,888,Dai Nguyen,GLTC - RWD,2:24.430,1,1,30.632,0
26,27,Robert Rosa,GLTC - RWD,2:26.373,1,1,2.131,0
27,10,Brian Tyson,GLTC - FWD,,0,,1 Lap,0
28,89,Tom Panzarella,GLTC - FWD,,0,,1.036,0
29,5,Kevin Bandy,GLTC - RWD,,0,,,0
DQ,155,Michael Pagano,GLTC - FWD,2:06.154,6,6,,
Official Results Published - 5/10/25 13:18,,,,,,,,
"Penalty - Car 155, Pass Under Yellow, DQ 5/10/25 13:18",,,,,,,,
