GLGT Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,606,Allen Patten,CORVETTE,1:35.216,2,10,,25
2,41,James Houghton,CIVIC TYPE R,1:35.369,2,10,1.550,21
3,24,Aj Hartman,MUSTANG,1:37.633,7,10,14.698,18
4,40,Chris Delucia,3 SERIES,1:37.561,5,10,4.023,16
5,77,Hans Horpedahl,CORVETTE,1:38.627,6,10,13.911,15
6,174,David Calzada,MX-5 MIATA,1:39.421,5,10,5.640,14
7,333,Tony Barber,350Z,1:40.165,7,7,3 Laps,13
Penalty Car 606: Incident Responsibility Minor With Car 41 - Warning,,,,,,,,
Penalty Car 41: Incident Responsibility Minor With Car 606 - Warning,,,,,,,,
