Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,41,James Houghton,UNLIMITED - FWD,1:25.601,Integra
2,5,Luke McGrew,TRACK MODIFIED - RWD,1:29.946,Viper ACR
3,69,James Forbis,STREET MODIFIED - RWD,1:33.440,Corvette Z06
4,77,Alex Artayet,STREET MODIFIED - AWD,1:35.079,WRX STI
5,6,Michael Aumick,STREET MODIFIED - AWD,1:35.852,WRX STI
6,90,Kevin Boehm,TRACK MODIFIED - FWD,1:35.905,Civic Si Coupe
7,34,Austin Hertel,STREET - RWD,1:36.401,370z
8,419,John Hansen,TRACK MODIFIED - RWD,1:36.627,viper
9,21,Matt DeReus,STREET MODIFIED - RWD,1:36.876,M3
10,22,Jeremy Boysen,STREET MODIFIED - RWD,1:37.067,GT4
11,314,Michael Puglisi,TRACK MODIFIED - AWD,1:37.597,Evolution
12,357,Dan Lewis,STREET MODIFIED - RWD,1:37.663,S2000
13,0,Brian/Ron Leazenby/Spear,STREET GT - RWD,1:37.709,Mustang
14,777,Joshua Halka,STREET - AWD,1:37.853,WRX
15,74,Chris Neuman,STREET - RWD,1:38.160,M3
16,110,Chinchi Chiang,STREET MODIFIED - FWD,1:39.059,Civic Type-R
17,151,David McCallister,TRACK MODIFIED - AWD,1:39.163,Lancer Evo IX
18,420,levi brown,TRACK MODIFIED - FWD,1:39.483,civic
19,17,Bob Dice,UNLIMITED - RWD,1:40.469,240sx
20,29,Kellan Williams,STREET MODIFIED - RWD,1:41.116,ISF
21,150,Anthony Leclerc,STREET - RWD,1:41.129,4C
22,460,Grant Walker,UNLIMITED - RWD,1:41.816,Miata
23,72,Joe Ippolito,STREET - RWD,1:41.829,Camaro
24,9,Ryan Frew,STREET - RWD,1:41.927,Boxster S
25,233,Weiwei SU,STREET MODIFIED - FWD,1:42.475,Civic Type-R FK8
26,54,Joseph Neuman,STREET - RWD,1:42.660,S2000
27,88,Fiona Lou,STREET MODIFIED - RWD,1:42.911,S2000
28,505,Tim Beek,STREET - RWD,1:43.195,S2000
29,94,Brandon Johnson,STREET - RWD,1:43.243,350Z
30,13,William Au-Yeung,UNLIMITED - FWD,1:43.303,RSX
31,199,Ethan Parr,STREET MODIFIED - RWD,1:43.353,Miata
32,96,Nigel Teags,STREET MODIFIED - AWD,1:43.996,Impreza WRX
33,10,Yo Keutla,STREET - RWD,1:44.303,Cayman S
34,24,Les Epps,STREET - FWD,1:44.908,Acura
35,234,Brad Riemann,STREET - AWD,1:45.221,Focus RS
36,550,Matt Christie,STREET - RWD,1:45.250,Mustang Eco Boost
37,214,Benjamin Skidmore,STREET - RWD,1:45.275,350Z
38,424,Michael Norman,STREET - AWD,1:45.482,STi Hatch
39,20,Erik Meadows,TRACK MODIFIED - RWD,1:45.600,Miata
40,46,Nehru Cheddie,STREET - RWD,1:46.048,330i
41,33,Chris Boersma,TRACK MODIFIED - FWD,1:46.071,Civic
42,444,Brian Smith,STREET MODIFIED - FWD,1:46.907,GTI
43,75,Ryan Gaydos,STREET - RWD,1:47.541,S2000
44,42,Ben Bulthuis,TRACK MODIFIED - FWD,1:48.198,CRX
45,81,Benjamin Marouski,STREET - FWD,1:48.376,Cooper
46,91,Gil Winningham,STREET - FWD,1:49.180,Accord
47,185,Kyle Champine,STREET - FWD,1:49.522,Civic
48,333,Brayden Connolly,TRACK MODIFIED - RWD,1:50.452,X1/9
49,121,Joseph King,STREET - FWD,1:51.225,Festiva
50,36,Ben Mich,STREET MODIFIED - RWD,1:52.257,RX-7
51,413,Sally McNulty,SUNDAE CUP / SPECFIT - FWD,1:53.660,Fit
52,174,James Rauck,STREET - FWD,1:57.480,Type R
53,15,Mark Bucheit,SUNDAE CUP / SPECFIT - FWD,1:57.692,Fit
54,556,James Wolters,STREET - FWD,1:58.124,INTEGRA
55,40,Chris Reindl,STREET - FWD,1:59.382,Civic
56,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,,Fit
57,28,Peter Zhang,STREET MODIFIED - AWD,,WRX
58,8,TheTony Calabrese,UNLIMITED - AWD,,STI
59,86,Jackie Ding,STREET MODIFIED - RWD,,S2000
