Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,70,Dewey Dewitt,STREET MOD - AWD,1:26.964,Impreza
2,525,Jeremy Lowder,UNLIMITED - RWD,1:27.745,Camaro
3,84,Ido Waksman,STREET GT - RWD,1:27.842,Corvette
4,228,Daniel Dobalo,STREET GT - RWD,1:28.186,CORVETTE
5,219,Nicholas Dillon,TRACK MOD - AWD,1:28.558,R8
6,79,Nicholas Kohrs,STREET MOD - FWD,1:28.956,CIVIC
7,34,Andy Voelkel,STREET GT - RWD,1:29.260,Corvette
8,514,Evan Mclaren,CLUB TR - FWD,1:29.589,INTEGRA
9,139,Wilbur Huang,STREET MOD - RWD,1:30.161,GR SUPRA
10,256,Drew Vosk,STREET GT - RWD,1:30.676,GR SUPRA
11,470,Eddy Segal,STREET - AWD,1:30.730,Civic
12,115,Zi Lin,STREET GT - RWD,1:31.112,M4
13,166,Ben Thorn,UNLIMITED - FWD,1:31.729,Civic
14,868,Steven Cheng,STREET GT - RWD,1:32.041,M3
15,23,Muzafar Umarov,STREET - FWD,1:32.367,VELOSTER
16,301,James Butensky,UNLIMITED - RWD,1:32.656,Corvette
17,767,Kevin Ren,TRACK MOD - RWD,1:33.174,M3
18,230,Daniel Persing,CLUB TR - RWD,1:33.221,BRZ
19,724,Vijay Lorick,STREET - FWD,1:33.720,ELANTRA
20,80,Chris Nahill,CLUB TR - RWD,1:33.732,BRZ
21,386,Farzad Karkvandeian,CLUB TR - RWD,1:33.763,GR86
22,920,Mike David,CLUB TR - RWD,1:33.916,86
23,495,Richard Cho,STREET - RWD,1:34.272,370Z
24,399,Kevin Kerr,STREET - AWD,1:34.308,LANCER
25,404,David Bamforth,TRACK MOD - RWD,1:34.429,CAYMAN
26,718,Richard Moussa,STREET - RWD,1:35.186,Cayman
27,410,Foster Johnson,CLUB TR - RWD,1:35.188,S2000
28,198,Bruce Yhun,STREET MOD - FWD,1:35.519,CIVIC
29,28,Knottfast Motorsports,CLUB TR - RWD,1:35.643,FR-S
30,49,Christopher Acosta,CLUB TR - FWD,1:36.048,CIVIC
31,69,Cody Umbaugh,STREET - FWD,1:36.253,CIVIC
32,40,Ben Bulthuis,STREET GT - RWD,1:36.329,GR SUPRA
33,21,Devin Herndon,STREET - FWD,1:36.975,GLA
34,157,Icarus Santos,STREET - RWD,1:37.339,Miata
35,218,Jason Mulderie,CLUB TR - RWD,1:38.267,S2000
36,990,Team No Pressure,TRACK MOD - RWD,1:38.544,ATS-V
37,221,Justin Kennedy,STREET - FWD,1:38.893,COOPER
38,104,Ben Lin,UNLIMITED - RWD,1:39.011,MR2
39,148,Zachary Meyers,STREET - RWD,1:39.232,IS300
40,719,Samuel Franks,STREET - AWD,1:40.560,WRX
41,395,Michael Smith,SUNDAE CUP - FWD,1:41.993,FIT
42,973,Luke Paglione,CLUB TR - FWD,1:43.380,INTEGRA
43,181,Joseph King,SUNDAE CUP - FWD,1:44.119,Protege
44,545,Danny Kruger,SUNDAE CUP - FWD,1:45.453,Fit
45,122,Jason Davidson,SUNDAE CUP - FWD,1:45.868,FIT
46,102,Stephen Lobianco,STREET - RWD,1:45.974,MX-5 MIATA
47,400,Logan Manning,SUNDAE CUP - FWD,1:47.451,FIT
48,505,Isaac Rodriguez,SUNDAE CUP - FWD,1:49.106,2
49,925,Evan Motl,CLUB TR - RWD,,S2000
