Qualifying 2 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
21,813,Gary Wong,TRACK MOD - RWD,,GR SUPRA
1,714,Sasha Anis,UNLIMITED - RWD,1:23.536,350z
2,642,Simon Sigier,UNLIMITED - RWD,1:25.219,GT2
3,909,Dai Yoshihara,UNLIMITED - RWD,1:25.526,S2000
4,805,Craig Coker,UNLIMITED - AWD,1:27.436,MODEL S
5,450,James Kirkham,UNLIMITED - RWD,1:29.357,AMG GT
6,27,Brad Perkins,UNLIMITED - RWD,1:29.679,M3
7,789,Ryan Raduechel,UNLIMITED - RWD,1:31.094,MX-5 MIATA
8,580,Damon Fryer,UNLIMITED - RWD,1:31.522,HURACAN
9,52,Nicholas Gardner,UNLIMITED - RWD,1:31.924,SHELBY GT500
10,525,Jeremy Lowder,UNLIMITED - RWD,1:33.936,CORVETTE
11,620,Michael Essa,UNLIMITED - RWD,1:34.661,SuperTrofeo
12,800,Scalar Performance,UNLIMITED - RWD,1:40.536,SCR1
13,170,Tom Tang,UNLIMITED - RWD,1:43.404,ELISE
14,266,Shawn Bassett,UNLIMITED - RWD,1:43.489,CIVIC
