Practice 1 Results - All Groups & Model 3,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
89,745,Chad Martin,MODEL 3 - AWD,1:48.331,MODEL 3
90,138,David Bruner,STREET - RWD,1:48.843,350Z
91,536,Steph Papadakis,STREET - AWD,1:48.999,COROLLA
92,64,Alex Westergaard,TRACK MOD - RWD,1:50.386,S2000
93,191,Jessica Powers,TRACK MOD - RWD,1:51.381,CORVETTE
94,273,Anthony Do,STREET - AWD,1:51.670,COROLLA
95,608,Seth Patterson,MODEL 3 - AWD,1:52.282,MODEL 3
96,369,Lucas Urban,SUNDAE CUP - FWD,1:52.811,ZX2
97,628,Patrick Melgar,STREET - FWD,1:52.985,VELOSTER
98,126,Jacob Abbott,SUNDAE CUP - FWD,1:53.263,FIT
99,817,Team Riaction,CLUB TR - FWD,1:54.075,INTEGRA
100,135,Taylour Wargo,SUNDAE CUP - FWD,1:55.280,FIT
101,46,Nehru Cheddie,STREET GT - RWD,1:55.844,911
102,876,Du Mah,SUNDAE CUP - FWD,1:57.844,FIT
103,281,Peter Nelson,CLUB TR - RWD,1:58.046,1 SERIES
104,122,Jason Davidson,SUNDAE CUP - FWD,1:58.221,FIT
105,305,Tj Keon,STREET GT - RWD,1:58.812,CROWN VICTORIA
106,322,Justin Okamoto,CLUB TR - RWD,1:59.774,318I
107,969,Fields Autoworks,SUNDAE CUP - FWD,2:03.696,Fit
108,231,Lester Epps,CLUB TR - FWD,2:03.769,CELICA
109,269,Christian Wendland,SUNDAE CUP - FWD,2:07.129,FIT
110,6,Michael Aumick,STREET MOD - AWD,2:07.617,IMPREZA
111,344,Phil Jolicoeur,STREET MOD - AWD,4:47.001,5000
112,249,Carlos Valenzuela,CLUB TR - FWD,,Civic
113,7,Tom Halka,STREET - AWD,,IMPREZA
114,813,Gary Wong,TRACK MOD - RWD,,GR SUPRA
115,777,Josh Halka,STREET - AWD,,Impreza
