TrackBattle Heat 8 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,830,Eric Fleming,UNLIMITED - RWD,1:21.723,CORVETTE
2,921,Jim Rauck,UNLIMITED - FWD,1:24.586,CIVIC
3,687,Jackie Ding,TRACK MOD - RWD,1:26.304,M2
4,82,Jaime Santos,STREET MOD - RWD,1:28.581,1 SERIES
5,171,Andrius Bertulis,UNLIMITED - RWD,1:28.675,RCF
6,212,Chris Smith,TRACK MOD - RWD,1:28.683,1 SERIES
7,115,Wesley Penn,UNLIMITED - RWD,1:28.865,CORVETTE
8,444,Luca Barberis,STREET MOD - RWD,1:29.115,GR SUPRA
9,121,Ryan Mathews,STREET MOD - RWD,1:30.632,CORVETTE
10,717,Luke Mcgrew,STREET GT - RWD,1:31.095,Z06
11,777,Joshua Halka,STREET - AWD,1:31.763,IMPREZA
12,11,Graham Gaylord,STREET MOD - AWD,1:31.921,IMPREZA
13,364,Nicholas Hendrix,STREET GT - RWD,1:32.097,CORVETTE
14,909,Mark Kilgore,STREET GT - RWD,1:32.269,M4
15,211,Ryan Mathews,STREET GT - RWD,1:32.482,CORVETTE
16,574,Zac Zhou,UNLIMITED - RWD,1:33.067,GALLARDO
17,177,Brad Angevaare,TRACK MOD - RWD,1:33.612,MX-5 MIATA
18,514,Evan Mclaren,CLUB TR - FWD,1:34.543,INTEGRA
19,550,Anthony Colard,STREET GT - RWD,1:34.555,MUSTANG
20,571,John Laughlin,STREET - FWD,1:34.809,CIVIC
21,2,Connor Gallagher,STREET GT - AWD,1:34.946,GT-R
22,310,Mike Coons,STREET - AWD,1:34.954,IMPREZA
23,466,Willem Drees,STREET - FWD,1:35.080,ELANTRA N
24,68,Paul Ough,TRACK MOD - RWD,1:35.418,MUSTANG
25,511,Peter Granberg,CLUB TR - RWD,1:35.627,BRZ
26,727,Mario Mirone,CLUB TR - FWD,1:35.631,CIVIC
27,18,Kevin Vue,CLUB TR - FWD,1:36.475,INTEGRA
28,470,Eddy Segal,STREET - FWD,1:36.740,CIVIC TYPE R
29,317,Timothy Turner,STREET MOD - RWD,1:36.996,M3
30,7,Thomas Halka,STREET - AWD,1:38.199,IMPREZA
31,120,Will Evans,STREET MOD - FWD,1:38.374,CIVIC TYPE R
32,241,Dariush Lotfi,CLUB TR - RWD,1:39.477,MX-5 MIATA
33,238,Garrett Gloceri,CLUB TR - RWD,1:39.922,RX-8
34,387,Clay Coughlin,SUPER UNLIMITED - RWD,1:40.493,CARDINAL
35,442,Logan Geyer,CLUB TR - RWD,1:40.526,BRZ
36,311,Jan Wildner,STREET - AWD,1:40.569,240SX
37,262,Noah Janke,CLUB TR - RWD,1:40.723,MR2
38,432,Connor Omara,CLUB TR - AWD,1:40.941,R32
39,240,Eric Knerr,CLUB TR - FWD,1:40.948,CIVIC
40,823,Dave Laps,STREET - FWD,1:46.142,COBALT
41,116,Lennon Radcliffe,CLUB SC - FWD,1:47.343,COROLLA
42,130,James Smith,CLUB SC - FWD,1:47.383,FIT
43,134,David Best,CLUB SC - FWD,1:47.602,FIT
44,91,Chris Rice,CLUB SC - FWD,1:47.743,FIT
45,156,Mike Janssen,CLUB SC - FWD,1:48.130,CIVIC
46,370,Sam Deuling,CLUB SC - FWD,1:48.140,FIT
47,377,Jack Coughlin,CLUB SC - FWD,1:48.506,COUPE
48,357,Luis Rodriguez,CLUB SC - FWD,1:48.795,FIT
49,412,Austin Obrien,CLUB SC - FWD,1:48.960,FIT
50,144,Ryan Mukherjee,CLUB SC - FWD,1:49.430,FIT
,,,,,Official Results Published 6/29/25 15:55
