TrackBattle Heat 2 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,921,Jim Rauck,UNLIMITED - FWD,1:25.617,CIVIC
2,304,Allen Patten,TRACK MOD - RWD,1:25.871,
3,687,Jackie Ding,TRACK MOD - RWD,1:28.071,M2
4,830,Eric Fleming,UNLIMITED - RWD,1:28.765,CORVETTE
5,70,Dewey Dewitt,STREET MOD - AWD,1:30.550,IMPREZA
6,444,Luca Barberis,STREET MOD - RWD,1:30.566,GR SUPRA
7,171,Andrius Bertulis,UNLIMITED - RWD,1:30.696,RCF
8,29,Kyle Mckiou,STREET MOD - RWD,1:30.882,GR SUPRA
9,212,Chris Smith,TRACK MOD - RWD,1:30.951,1 SERIES
10,51,Jon Roed,STREET MOD - RWD,1:31.116,MX-5 MIATA
11,121,Ryan Mathews,STREET MOD - RWD,1:31.664,CORVETTE
12,445,Justin Peachey,TRACK MOD - RWD,1:31.684,CORVETTE
13,66,Matthias Schaub,UNLIMITED - RWD,1:31.809,911
14,33,Chris Boersma,TRACK MOD - FWD,1:32.015,CIVIC
15,82,Jaime Santos,STREET MOD - RWD,1:32.104,1 SERIES
16,717,Luke Mcgrew,STREET GT - RWD,1:32.355,Z06
17,93,John Veloso,SUPER UNLIMITED - RWD,1:32.377,NSX
18,773,Luie Zendejas,UNLIMITED - RWD,1:32.550,CORVETTE
19,314,Michael Puglisi,TRACK MOD - AWD,1:32.843,LANCER
20,114,Bronson Mcnemar,TRACK MOD - RWD,1:33.332,MX-5 MIATA
21,777,Joshua Halka,STREET - AWD,1:33.553,IMPREZA
22,364,Nicholas Hendrix,STREET GT - RWD,1:33.786,CORVETTE
23,11,Graham Gaylord,STREET MOD - AWD,1:33.960,IMPREZA
24,909,Mark Kilgore,STREET GT - RWD,1:34.296,M4
25,443,Andy Holst,STREET - AWD,1:34.309,LANCER
26,985,Dayton Delahoussaye,STREET MOD - RWD,1:34.501,MX-5 MIATA
27,211,Ryan Mathews,STREET GT - RWD,1:34.635,CORVETTE
28,94,Mike Bryant,CLUB TR - RWD,1:36.606,MX-5 MIATA
29,466,Willem Drees,STREET - FWD,1:36.716,ELANTRA N
30,228,Brad Smith,STREET GT - RWD,1:36.720,CAMARO
31,222,Kyle Hale,TRACK MOD - RWD,1:37.032,M3
32,571,John Laughlin,STREET - FWD,1:37.196,CIVIC
33,511,Peter Granberg,CLUB TR - RWD,1:37.528,BRZ
34,514,Evan Mclaren,CLUB TR - FWD,1:37.569,INTEGRA
35,716,Darius Zajac,TRACK MOD - RWD,1:37.638,CORVETTE
36,727,Mario Mirone,CLUB TR - FWD,1:38.040,CIVIC
37,310,Mike Coons,STREET - AWD,1:38.154,IMPREZA
38,23,King Thao,CLUB TR - FWD,1:38.240,CIVIC
39,15,Adam Wrobel,CLUB TR - FWD,1:38.346,INTEGRA
40,68,Paul Ough,TRACK MOD - RWD,1:38.372,MUSTANG
41,574,Zac Zhou,UNLIMITED - RWD,1:38.382,GALLARDO
42,669,Carlos Alvarez,STREET GT - RWD,1:38.416,M2
43,997,Jason Gaydos,CLUB TR - RWD,1:38.435,BRZ
