TrackBattle Heat 3 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,830,Eric Fleming,UNLIMITED - RWD,1:24.822,CORVETTE
2,304,Allen Patten,TRACK MOD - RWD,1:25.221,
3,687,Jackie Ding,TRACK MOD - RWD,1:28.055,M2
4,93,John Veloso,SUPER UNLIMITED - RWD,1:28.730,NSX
5,29,Kyle Mckiou,STREET MOD - RWD,1:29.175,GR SUPRA
6,171,Andrius Bertulis,UNLIMITED - RWD,1:30.085,RCF
7,121,Ryan Mathews,STREET MOD - RWD,1:30.561,CORVETTE
8,82,Jaime Santos,STREET MOD - RWD,1:30.885,1 SERIES
9,51,Jon Roed,STREET MOD - RWD,1:31.088,MX-5 MIATA
10,33,Chris Boersma,TRACK MOD - FWD,1:31.158,CIVIC
11,212,Chris Smith,TRACK MOD - RWD,1:31.218,1 SERIES
12,717,Luke Mcgrew,STREET GT - RWD,1:31.473,Z06
13,114,Bronson Mcnemar,TRACK MOD - RWD,1:31.927,MX-5 MIATA
14,364,Nicholas Hendrix,STREET GT - RWD,1:32.187,CORVETTE
15,773,Luie Zendejas,UNLIMITED - RWD,1:32.635,CORVETTE
16,66,Matthias Schaub,UNLIMITED - RWD,1:32.648,911
17,777,Joshua Halka,STREET - AWD,1:32.654,IMPREZA
18,115,Wesley Penn,UNLIMITED - RWD,1:32.727,CORVETTE
19,11,Graham Gaylord,STREET MOD - AWD,1:32.835,IMPREZA
20,909,Mark Kilgore,STREET GT - RWD,1:33.410,M4
21,211,Ryan Mathews,STREET GT - RWD,1:33.521,CORVETTE
22,536,Austin Hertel,STREET GT - RWD,1:34.679,CORVETTE
23,985,Dayton Delahoussaye,STREET MOD - RWD,1:35.062,MX-5 MIATA
24,514,Evan Mclaren,CLUB TR - FWD,1:35.155,INTEGRA
25,228,Brad Smith,STREET GT - RWD,1:35.281,CAMARO
26,574,Zac Zhou,UNLIMITED - RWD,1:35.664,GALLARDO
27,466,Willem Drees,STREET - FWD,1:36.076,ELANTRA N
28,571,John Laughlin,STREET - FWD,1:36.357,CIVIC
29,68,Paul Ough,TRACK MOD - RWD,1:36.655,MUSTANG
30,511,Peter Granberg,CLUB TR - RWD,1:36.739,BRZ
31,716,Darius Zajac,TRACK MOD - RWD,1:36.747,CORVETTE
32,310,Mike Coons,STREET - AWD,1:37.016,IMPREZA
33,550,Anthony Colard,STREET GT - RWD,1:37.155,MUSTANG
34,177,Brad Angevaare,TRACK MOD - RWD,1:37.304,MX-5 MIATA
35,669,Carlos Alvarez,STREET GT - RWD,1:37.627,M2
36,504,Kameron Newman,STREET MOD - RWD,1:37.634,BRZ
37,38,Aaron Rekkedahl,STREET - FWD,1:37.800,CIVIC TYPE R
38,15,Adam Wrobel,CLUB TR - FWD,1:37.812,INTEGRA
39,40,Ben Bulthuis,STREET GT - RWD,1:38.082,GR SUPRA
40,997,Jason Gaydos,CLUB TR - RWD,1:38.321,BRZ
41,410,Foster Johnson,CLUB TR - RWD,1:38.360,S2000
42,230,Daniel Persing,CLUB TR - RWD,1:38.372,BRZ
43,319,Chris Schuster,CLUB TR - RWD,1:38.390,GR86
44,23,King Thao,CLUB TR - FWD,1:38.452,CIVIC
45,204,Christopher Heideman,CLUB TR - RWD,1:38.476,S2000
46,622,Jake Rawson,CLUB TR - RWD,1:38.501,3 SERIES
47,518,Michael Budai,CLUB TR - FWD,1:38.890,CIVIC
48,317,Timothy Turner,STREET MOD - RWD,1:39.195,M3
49,56,Nicholas Alpin,STREET GT - RWD,1:39.201,CORVETTE
50,69,Cody Umbaugh,STREET - FWD,1:39.235,CIVIC
51,517,Tim Lutz,STREET MOD - RWD,1:39.376,CORVETTE
52,80,Chris Nahill,STREET - FWD,1:39.712,CIVIC
53,48,Jeremy Hensley,STREET - AWD,1:39.762,IMPREZA
54,771,Rico Valdez,STREET GT - RWD,1:39.801,CORVETTE
55,241,Dariush Lotfi,CLUB TR - RWD,1:40.107,MX-5 MIATA
56,949,Evin Degirmencioglu,STREET GT - RWD,1:40.185,MUSTANG
57,73,Jeremy Salenius,STREET MOD - RWD,1:40.607,CORVETTE
58,238,Garrett Gloceri,CLUB TR - RWD,1:40.614,RX-8
59,25,Christopher Quashnie,STREET - FWD,1:41.109,CIVIC
60,76,Ethan Brown,STREET MOD - FWD,1:41.128,GOLF GTI
61,706,Troy Delahoussaye,STREET MOD - RWD,1:41.148,MX-5 MIATA
62,120,Will Evans,STREET MOD - FWD,1:41.185,CIVIC TYPE R
63,7,Thomas Halka,STREET - AWD,1:41.317,IMPREZA
64,46,Nehru Cheddie,STREET - RWD,1:41.387,M3
65,515,Jared Garcia,CLUB TR - RWD,1:41.448,S2000
66,432,Connor Omara,CLUB TR - AWD,1:41.556,R32
67,218,Jason Mulderig,CLUB TR - RWD,1:41.769,S2000
68,598,Cory Gordinier,STREET MOD - RWD,1:42.104,MX-5 MIATA
69,262,Noah Janke,CLUB TR - RWD,1:42.510,MR2
70,442,Logan Geyer,CLUB TR - RWD,1:42.679,BRZ
71,71,Kevin Horn,CLUB TR - RWD,1:42.757,FR-S
72,521,Juniper Zarder,STREET MOD - RWD,1:42.846,Z
73,624,Marketti-Morales Nolan,STREET - AWD,1:42.881,IMPREZA
74,240,Eric Knerr,CLUB TR - FWD,1:43.032,CIVIC
75,920,Aaron Byram,CLUB TR - RWD,1:43.288,M3
76,75,Jerome Cahuzac,STREET GT - RWD,1:43.397,M2
77,869,Cheddar O'Brien,SUPER UNLIMITED - RWD,1:43.647,SR3
78,276,Tj Ball,TRACK MOD - RWD,1:44.116,3 SERIES
79,614,Mark Riehle,CLUB TR - FWD,1:44.231,COOPER
80,915,Dylan Rodgers,CLUB TR - RWD,1:44.774,MX-5 MIATA
81,387,Clay Coughlin,SUPER UNLIMITED - RWD,1:46.623,CARDINAL
82,131,Lisa Keyes,SUPER UNLIMITED - FWD,1:46.919,CIVIC
83,97,Mark Matyac,STREET GT - RWD,1:47.646,3 SERIES
84,134,David Best,CLUB SC - FWD,1:47.792,FIT
85,130,James Smith,CLUB SC - FWD,1:47.866,FIT
86,156,Mike Janssen,CLUB SC - FWD,1:48.258,CIVIC
87,116,Lennon Radcliffe,CLUB SC - FWD,1:48.348,COROLLA
88,823,Dave Laps,STREET - FWD,1:48.563,COBALT
89,412,Austin Obrien,CLUB SC - FWD,1:48.628,FIT
90,144,Ryan Mukherjee,CLUB SC - FWD,1:48.721,FIT
91,91,Chris Rice,CLUB SC - FWD,1:49.003,FIT
92,357,Luis Rodriguez,CLUB SC - FWD,1:49.236,FIT
93,377,Jack Coughlin,CLUB SC - FWD,1:50.416,COUPE
94,470,Eddy Segal,STREET - FWD,,CIVIC TYPE R
95,445,Justin Peachey,TRACK MOD - RWD,,CORVETTE
96,314,Michael Puglisi,TRACK MOD - AWD,,LANCER
Penalty Car 511: Taking 2 Checkered Flags - Lap 4 invalidated,,,,,
,,,,,Official Results Published - 6/26/25 18:00
