TrackBattle Heat 5 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
Pos,No.,Name,Class,Best Tm,Model/Engine
Pos,No.,Name,Class,Best Tm,Model/Engine
1,830,Eric Fleming,UNLIMITED - RWD,1:23.629,CORVETTE
2,687,Jackie Ding,TRACK MOD - RWD,1:25.676,M2
3,70,Dewey Dewitt,STREET MOD - AWD,1:27.962,IMPREZA
4,921,Jim Rauck,UNLIMITED - FWD,1:28.113,CIVIC
5,29,Kyle Mckiou,STREET MOD - RWD,1:29.379,GR SUPRA
6,171,Andrius Bertulis,UNLIMITED - RWD,1:29.444,RCF
7,445,Justin Peachey,TRACK MOD - RWD,1:29.836,CORVETTE
8,33,Chris Boersma,TRACK MOD - FWD,1:30.042,CIVIC
9,66,Matthias Schaub,UNLIMITED - RWD,1:30.307,911
10,11,Graham Gaylord,STREET MOD - AWD,1:30.463,IMPREZA
11,51,Jon Roed,STREET MOD - RWD,1:30.472,MX-5 MIATA
12,115,Wesley Penn,UNLIMITED - RWD,1:30.745,CORVETTE
13,121,Ryan Mathews,STREET MOD - RWD,1:30.933,CORVETTE
14,212,Chris Smith,TRACK MOD - RWD,1:31.276,1 SERIES
15,717,Luke Mcgrew,STREET GT - RWD,1:31.475,Z06
16,114,Bronson Mcnemar,TRACK MOD - RWD,1:31.777,MX-5 MIATA
17,211,Ryan Mathews,STREET GT - RWD,1:31.996,CORVETTE
18,93,John Veloso,SUPER UNLIMITED - RWD,1:32.326,NSX
19,773,Luie Zendejas,UNLIMITED - RWD,1:32.363,CORVETTE
20,443,Andy Holst,STREET - AWD,1:32.575,LANCER
21,364,Nicholas Hendrix,STREET GT - RWD,1:32.628,CORVETTE
22,909,Mark Kilgore,STREET GT - RWD,1:33.072,M4
23,985,Dayton Delahoussaye,STREET MOD - RWD,1:33.387,MX-5 MIATA
24,777,Joshua Halka,STREET - AWD,1:33.468,IMPREZA
25,314,Michael Puglisi,TRACK MOD - AWD,1:34.301,LANCER
26,404,David Bamforth,TRACK MOD - RWD,1:34.353,CAYMAN
27,310,Mike Coons,STREET - AWD,1:34.755,IMPREZA
28,514,Evan Mclaren,CLUB TR - FWD,1:34.876,INTEGRA
29,228,Brad Smith,STREET GT - RWD,1:34.895,CAMARO
30,224,Michael Hillo,TRACK MOD - RWD,1:34.916,350Z
31,550,Anthony Colard,STREET GT - RWD,1:35.374,MUSTANG
32,511,Peter Granberg,CLUB TR - RWD,1:35.731,BRZ
33,400,Alexander Bungabong,UNLIMITED - RWD,1:35.751,RCF
34,571,John Laughlin,STREET - FWD,1:35.791,CIVIC
35,40,Ben Bulthuis,STREET GT - RWD,1:35.898,GR SUPRA
36,177,Brad Angevaare,TRACK MOD - RWD,1:35.927,MX-5 MIATA
37,45,Ross Ligibel,STREET - RWD,1:36.146,M3
38,94,Mike Bryant,CLUB TR - RWD,1:36.241,MX-5 MIATA
39,73,Jeremy Salenius,STREET MOD - RWD,1:36.273,CORVETTE
40,18,Kevin Vue,CLUB TR - FWD,1:36.398,INTEGRA
41,716,Darius Zajac,TRACK MOD - RWD,1:36.414,CORVETTE
42,38,Aaron Rekkedahl,STREET - FWD,1:36.444,CIVIC TYPE R
43,204,Christopher Heideman,CLUB TR - RWD,1:36.651,S2000
44,466,Willem Drees,STREET - FWD,1:36.721,ELANTRA N
45,470,Eddy Segal,STREET - FWD,1:36.822,CIVIC TYPE R
46,669,Carlos Alvarez,STREET GT - RWD,1:37.239,M2
47,574,Zac Zhou,UNLIMITED - RWD,1:37.334,GALLARDO
48,997,Jason Gaydos,CLUB TR - RWD,1:37.420,BRZ
49,15,Adam Wrobel,CLUB TR - FWD,1:37.427,INTEGRA
50,949,Evin Degirmencioglu,STREET GT - RWD,1:37.462,MUSTANG
51,622,Jake Rawson,CLUB TR - RWD,1:37.529,3 SERIES
52,410,Foster Johnson,CLUB TR - RWD,1:37.564,S2000
53,23,King Thao,CLUB TR - FWD,1:37.756,CIVIC
54,230,Daniel Persing,CLUB TR - RWD,1:37.789,BRZ
55,319,Chris Schuster,CLUB TR - RWD,1:37.815,GR86
56,517,Tim Lutz,STREET MOD - RWD,1:37.839,CORVETTE
57,69,Cody Umbaugh,STREET - FWD,1:37.965,CIVIC
58,73x,Adam Spence,STREET MOD - RWD,1:38.442,CORVETTE
59,80,Chris Nahill,STREET - FWD,1:38.697,CIVIC
60,241,Dariush Lotfi,CLUB TR - RWD,1:38.882,MX-5 MIATA
61,869,Cheddar O'Brien,SUPER UNLIMITED - RWD,1:38.915,SR3
62,120,Will Evans,STREET MOD - FWD,1:39.027,CIVIC TYPE R
63,25,Christopher Quashnie,STREET - FWD,1:39.044,CIVIC
64,76,Ethan Brown,STREET MOD - FWD,1:39.324,GOLF GTI
65,238,Garrett Gloceri,CLUB TR - RWD,1:39.328,RX-8
66,311,Jan Wildner,STREET - AWD,1:39.328,240SX
67,7,Thomas Halka,STREET - AWD,1:39.546,IMPREZA
68,771,Rico Valdez,STREET GT - RWD,1:39.564,CORVETTE
69,218,Jason Mulderig,CLUB TR - RWD,1:39.622,S2000
70,706,Troy Delahoussaye,STREET MOD - RWD,1:39.732,MX-5 MIATA
71,48,Jeremy Hensley,STREET - AWD,1:39.805,IMPREZA
72,317,Timothy Turner,STREET MOD - RWD,1:39.856,M3
73,56,Nicholas Alpin,STREET GT - RWD,1:39.966,CORVETTE
74,68,Paul Ough,TRACK MOD - RWD,1:39.993,MUSTANG
75,276,Tj Ball,TRACK MOD - RWD,1:40.301,3 SERIES
76,515,Jared Garcia,CLUB TR - RWD,1:40.476,S2000
77,598,Cory Gordinier,STREET MOD - RWD,1:40.619,MX-5 MIATA
78,442,Logan Geyer,CLUB TR - RWD,1:40.667,BRZ
79,432,Connor Omara,CLUB TR - AWD,1:40.923,R32
80,624,Marketti-Morales Nolan,STREET - AWD,1:40.933,IMPREZA
81,262,Noah Janke,CLUB TR - RWD,1:41.042,MR2
82,920,Aaron Byram,CLUB TR - RWD,1:41.068,M3
83,240,Eric Knerr,CLUB TR - FWD,1:41.319,CIVIC
84,71,Kevin Horn,CLUB TR - RWD,1:41.392,FR-S
85,46,Nehru Cheddie,STREET - RWD,1:41.675,M3
86,335,Christopher Bickford,STREET - FWD,1:41.897,INTEGRA
87,387,Clay Coughlin,SUPER UNLIMITED - RWD,1:42.317,CARDINAL
88,2,Connor Gallagher,STREET GT - AWD,1:42.947,GT-R
89,75,Jerome Cahuzac,STREET GT - RWD,1:43.098,M2
90,614,Mark Riehle,CLUB TR - FWD,1:43.116,COOPER
91,915,Dylan Rodgers,CLUB TR - RWD,1:44.170,MX-5 MIATA
92,97,Mark Matyac,STREET GT - RWD,1:46.794,3 SERIES
93,823,Dave Laps,STREET - FWD,1:47.237,COBALT
94,134,David Best,CLUB SC - FWD,1:47.362,FIT
95,156,Mike Janssen,CLUB SC - FWD,1:47.388,CIVIC
96,130,James Smith,CLUB SC - FWD,1:47.399,FIT
97,116,Lennon Radcliffe,CLUB SC - FWD,1:47.555,COROLLA
98,412,Austin Obrien,CLUB SC - FWD,1:48.062,FIT
99,370,Sam Deuling,CLUB SC - FWD,1:48.637,FIT
100,377,Jack Coughlin,CLUB SC - FWD,1:48.733,COUPE
101,91,Chris Rice,CLUB SC - FWD,1:48.818,FIT
102,144,Ryan Mukherjee,CLUB SC - FWD,1:49.116,FIT
103,357,Luis Rodriguez,CLUB SC - FWD,1:49.139,FIT
104,95,Alex Gomez,CLUB SC - FWD,1:53.692,FIT
105,504,Kameron Newman,STREET MOD - RWD,4:56.889,BRZ
106,518,Michael Budai,CLUB TR - FWD,,CIVIC
107,304,Allen Patten,TRACK MOD - RWD,,CORVETTE
108,444,Luca Barberis,STREET MOD - RWD,,GR SUPRA
109,82,Jaime Santos,STREET MOD - RWD,,1 SERIES
Penalty Car 171: Improper Full Course Yellow Procedure - Lap 2 invalidated.,,,,,
,,,,,Official Results Published - 6/28/25 15:00
