TrackBattle Heat 4 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,314,Michael Puglisi,TRACK MOD - AWD,1:32.186,LANCER
2,115,Wesley Penn,UNLIMITED - RWD,1:32.779,CORVETTE
3,11,Graham Gaylord,STREET MOD - AWD,1:33.155,IMPREZA
4,777,Joshua Halka,STREET - AWD,1:33.233,IMPREZA
5,536,Austin Hertel,STREET GT - RWD,1:33.253,CORVETTE
6,985,Dayton Delahoussaye,STREET MOD - RWD,1:34.185,MX-5 MIATA
7,211,Ryan Mathews,STREET GT - RWD,1:34.743,CORVETTE
8,443,Andy Holst,STREET - AWD,1:35.011,LANCER
9,571,John Laughlin,STREET - FWD,1:36.448,CIVIC
10,909,Mark Kilgore,STREET GT - RWD,1:36.644,M4
11,511,Peter Granberg,CLUB TR - RWD,1:37.017,BRZ
12,404,David Bamforth,TRACK MOD - RWD,1:37.083,CAYMAN
13,228,Brad Smith,STREET GT - RWD,1:37.084,CAMARO
14,466,Willem Drees,STREET - FWD,1:37.135,ELANTRA N
15,68,Paul Ough,TRACK MOD - RWD,1:37.168,MUSTANG
16,550,Anthony Colard,STREET GT - RWD,1:37.358,MUSTANG
17,319,Chris Schuster,CLUB TR - RWD,1:37.695,GR86
18,669,Carlos Alvarez,STREET GT - RWD,1:37.767,M2
19,997,Jason Gaydos,CLUB TR - RWD,1:37.870,BRZ
20,310,Mike Coons,STREET - AWD,1:38.217,IMPREZA
21,230,Daniel Persing,CLUB TR - RWD,1:38.245,BRZ
22,400,Alexander Bungabong,UNLIMITED - RWD,1:38.454,RCF
23,311,Jan Wildner,STREET - AWD,1:38.716,240SX
24,517,Tim Lutz,STREET MOD - RWD,1:38.856,CORVETTE
25,410,Foster Johnson,CLUB TR - RWD,1:38.913,S2000
26,38,Aaron Rekkedahl,STREET - FWD,1:39.096,CIVIC TYPE R
27,350,Julio Crispin,TRACK MOD - RWD,1:39.324,350Z
28,518,Michael Budai,CLUB TR - FWD,1:39.651,CIVIC
29,222,Kyle Hale,TRACK MOD - RWD,1:39.841,M3
30,48,Jeremy Hensley,STREET - AWD,1:40.547,IMPREZA
31,317,Timothy Turner,STREET MOD - RWD,1:42.583,M3
32,18,Kevin Vue,CLUB TR - FWD,1:42.603,INTEGRA
33,120,Will Evans,STREET MOD - FWD,1:43.044,CIVIC TYPE R
34,504,Kameron Newman,STREET MOD - RWD,1:43.089,BRZ
35,515,Jared Garcia,CLUB TR - RWD,1:43.438,S2000
36,25,Christopher Quashnie,STREET - FWD,1:43.615,CIVIC
37,470,Eddy Segal,STREET - FWD,1:44.848,CIVIC TYPE R
38,238,Garrett Gloceri,CLUB TR - RWD,1:44.906,RX-8
39,241,Dariush Lotfi,CLUB TR - RWD,1:45.095,MX-5 MIATA
40,218,Jason Mulderig,CLUB TR - RWD,1:45.099,S2000
41,432,Connor Omara,CLUB TR - AWD,1:45.475,R32
42,76,Ethan Brown,STREET MOD - FWD,1:45.624,GOLF GTI
43,69,Cody Umbaugh,STREET - FWD,1:46.213,CIVIC
44,71,Kevin Horn,CLUB TR - RWD,1:46.296,FR-S
45,624,Marketti-Morales Nolan,STREET - AWD,1:48.041,IMPREZA
