TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
89,920,Aaron Byram,CLUB TR - RWD,1:40.024,M3
90,262,Noah Janke,CLUB TR - RWD,1:40.102,MR2
91,276,Tj Ball,TRACK MOD - RWD,1:40.301,3 SERIES
92,624,Marketti-Morales Nolan,STREET - AWD,1:40.401,IMPREZA
93,387,Clay Coughlin,SUPER UNLIMITED - RWD,1:40.493,CARDINAL
94,598,Cory Gordinier,STREET MOD - RWD,1:40.619,MX-5 MIATA
95,46,Nehru Cheddie,STREET - RWD,1:40.751,M3
96,432,Connor Omara,CLUB TR - AWD,1:40.923,R32
97,240,Eric Knerr,CLUB TR - FWD,1:40.948,CIVIC
98,71,Kevin Horn,CLUB TR - RWD,1:41.392,FR-S
99,75,Jerome Cahuzac,STREET GT - RWD,1:41.736,M2
100,335,Christopher Bickford,STREET - FWD,1:41.897,INTEGRA
101,323,Freddy De La Rosa,CLUB TR - RWD,1:42.058,S2000
102,521,Juniper Zarder,STREET MOD - RWD,1:42.846,Z
103,614,Mark Riehle,CLUB TR - FWD,1:43.116,COOPER
104,915,Dylan Rodgers,CLUB TR - RWD,1:43.955,MX-5 MIATA
105,46,Nehru Cheddie,CLUB TR - RWD,1:45.223,M3
106,97,Mark Matyac,STREET GT - RWD,1:45.537,3 SERIES
107,198,Bruce Yhun,CLUB TR - FWD,1:45.749,CR-Z
108,823,Dave Laps,STREET - FWD,1:46.142,COBALT
109,131,Lisa Keyes,SUPER UNLIMITED - FWD,1:46.919,CIVIC
110,156,Mike Janssen,CLUB SC - FWD,1:47.006,CIVIC
111,370,Sam Deuling,CLUB SC - FWD,1:47.088,FIT
112,91,Chris Rice,CLUB SC - FWD,1:47.225,FIT
113,130,James Smith,CLUB SC - FWD,1:47.256,FIT
114,116,Lennon Radcliffe,CLUB SC - FWD,1:47.343,COROLLA
115,134,David Best,CLUB SC - FWD,1:47.362,FIT
116,412,Austin Obrien,CLUB SC - FWD,1:47.969,FIT
117,377,Jack Coughlin,CLUB SC - FWD,1:47.976,COUPE
118,144,Ryan Mukherjee,CLUB SC - FWD,1:48.327,FIT
119,357,Luis Rodriguez,CLUB SC - FWD,1:48.795,FIT
120,95,Alex Gomez,CLUB SC - FWD,1:53.191,FIT
Penalty Car 130: Pass Under Yellow - Heat 7 Times Invalidated,,,,,
,,,,,Official Results Published - 6/29/25 15:55
