Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,TRACK MODIFIED - RWD,1:27.300,Corvette
2,86,Jackie Ding,STREET MODIFIED - RWD,1:28.804,Supra #TA90
3,150,Alexander Moss,STREET MODIFIED - RWD,1:29.361,S2000
4,414,RS Motors,STREET MODIFIED - AWD,1:30.150,Evo IX
5,121,Ryan Mathews,STREET MODIFIED - RWD,1:30.912,Z06
6,71,Joel Morrison,TRACK MODIFIED - RWD,1:31.077,S2000
7,6,Michael Aumick,STREET MODIFIED - AWD,1:31.749,STI
8,115,Electron Sport,STREET MODIFIED - RWD,1:31.811,Corvette
9,130,Coby Shield,STREET GT - RWD,1:31.833,Camaro
10,314,Michael Puglisi,TRACK MODIFIED - AWD,1:32.526,EVO IX
11,34,Austin Hertel,STREET - RWD,1:33.244,370z
12,87,Team Twitch,STREET - RWD,1:33.295,M3
13,335,Christopher Bickford,STREET GT - RWD,1:33.994,Corvette
14,77,Alex Artayet,STREET GT - RWD,1:34.926,M3
15,330,Vladimir Skirda,STREET - AWD,1:35.323,STi
16,625,Samel Meseljevic,STREET - RWD,1:36.487,350Z Nismo
17,28,Peter Zhang,STREET MODIFIED - AWD,1:36.715,Impreza WRX
18,60,Mark Brylo,STREET - AWD,1:37.740,Evo
19,10,Kyoo Lee,STREET - AWD,1:37.840,Lancer Evolution
20,724,Mingzhao Chen,STREET MODIFIED - AWD,1:38.148,EVO X
21,16,Alex Peitz,STREET GT - RWD,1:38.971,Corvette
22,17,Ryan Frew,STREET GT - RWD,1:39.669,Boxster S
23,46,Nehru Cheddie,STREET - RWD,1:39.801,M3
24,11,Brandon Ham,STREET GT - RWD,1:40.013,911
25,310,Mike Coons,STREET - AWD,1:40.078,Impreza WRX STI
26,18,Dominic Loffredi,STREET - RWD,1:40.393,M3
27,27,Ken Devriese,STREET - RWD,1:40.620,S2000
28,66,Ben Thorn,STREET - FWD,1:40.918,Civic
29,151,David McCallister,TRACK MODIFIED - AWD,1:41.253,Lancer Evolution IX
30,32,Yo Keutla,STREET - RWD,1:41.334,Cayman
31,118,Jason Owens,STREET - FWD,1:42.621,Civic Si
32,23,Nilesh Patel,STREET MODIFIED - AWD,1:42.689,EVO 9
33,262,Julian Mancuso,STREET - RWD,1:42.967,FRS
34,993,Christopher Watson,STREET MODIFIED - RWD,1:43.829,Miata
35,75,Ryan Gaydos,STREET - RWD,1:44.209,S2000
36,33,Dale Henry,STREET MODIFIED - RWD,1:44.317,FRS
37,31,Bart Goldenbeld,TRACK MODIFIED - RWD,1:44.330,Miata
38,74,Grant Davidson,STREET - FWD,1:45.848,Integra
39,48,Torry Skurski,STREET - RWD,1:46.142,328i
40,36,Ben Mich,STREET MODIFIED - RWD,1:47.056,Rx7
41,69,Kevin Hardin,STREET - RWD,1:47.320,350z
42,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,1:48.528,Fit
43,395,Michael Smith,SUNDAE CUP / SPECFIT - FWD,1:49.102,Fit
44,38,Ernestas Puzelis,TRACK MODIFIED - RWD,1:50.676,370z
45,64,Grant Mullet,STREET GT - RWD,1:53.211,Civic Si
46,70,Nicholas Kohrs,STREET MODIFIED - FWD,,Civic Si
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
