GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,66,Aaron Leichty,CORVETTE,2:32.822,2,6,,25
2,330,Eric Magnussen,M3,2:32.718,3,6,0.225,21
3,374,Emile Tabb,MX-5 MIATA,2:33.325,3,6,0.904,18
4,484,Matan Rosenberg,CORVETTE,2:30.113,6,6,1.061,16
5,90,Matt Waldbaum,S2000,2:33.020,5,6,1.05,15
6,71,Joel Morrison,S2000,2:33.739,5,6,2.79,14
7,2,Aryton Grim,MX-5 MIATA,2:34.568,5,6,1.695,13
8,715,Salil Shukla,M3,2:35.536,6,6,5.857,12
9,440,Daniel Giraldo,IS,2:35.592,5,6,0.819,11
10,83,Carlos Mendez,3 SERIES,2:35.182,6,6,0.599,10
11,50,Azmath Mohammed,MR2,2:36.502,6,6,3.168,9
12,84,Thomas Lathrop,3 SERIES,2:35.276,4,6,0.336,8
13,614,Blake Korth,CAYMAN,2:36.200,4,6,1.105,7
14,89,Tom Panzarella,JETTA,2:35.484,6,6,0.113,6
15,155,Michael Pagano,116I,2:35.841,4,6,4.297,5
DQ,26,Louis Chatroop,3 SERIES,2:34.143,2,6,5.67,4
DQ,34,Austin Hertel,370Z,2:34.153,5,6,1.184,3
18,444,John Gaydos,3 SERIES,2:35.417,6,6,4.587,2
19,888,Dai Nguyen,BRZ,2:38.185,2,6,6.699,1
20,67,Mat Beck,240SX,2:38.451,5,6,20.338,0
21,43,Joe Tullo,325I,2:43.586,5,6,10.55,0
22,23,Brian Santiago,FOCUS ST,2:44.525,3,6,10.816,0
23,192,Tyson Schwiesow,Z3,2:46.203,2,6,7.452,0
24,326,Jon Borlee,MX-5 MIATA,2:55.722,6,6,1:03.332,0
25,212,Andy Smedegard,GT86.24,2:33.841,2,3,3 Laps,0
26,28,Peter Zhang,FR-S,2:35.552,2,3,19.002,0
27,224,Michael Hillo,350Z,2:38.048,2,2,1 Lap,0
28,13,Alan Newsome,XR4TI,2:53.457,1,1,1 Lap,0
DQ,32,Jake Joraanstad,S2000,,0,,,0
DQ,222,Kyle Hale,M3,,0,,1 Lap,0
,,,,,,,,Provisional results posted 07/27/25 10:50
