TrackBattle Heat 6 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,48,Jeremy Hensley,STREET - AWD,1:58.038,IMPREZA
2,498,Bradley Folse,STREET - AWD,2:00.436,IMPREZA
3,204,Christopher Heideman,CLUB TR - RWD,2:01.867,S2000
4,740,Alexis Fregoso,CLUB TR - FWD,2:02.624,RSX
5,202,Rebekah Cohen,STREET - FWD,2:05.971,CIVIC TYPE R
6,218,Jason Mulderig,CLUB TR - RWD,2:08.128,S2000
7,194,Mike Callaway,STREET - AWD,2:08.601,IMPREZA
8,40,Ben Bulthuis,STREET GT - RWD,2:08.650,GR SUPRA
9,370,Sam Deuling,CLUB SC - FWD,2:08.663,FIT
10,216,Nickolas Berg,CLUB SC - FWD,2:08.834,FIT
11,230,Daniel Persing,CLUB TR - RWD,2:11.867,BRZ
12,504,Kameron Newman,STREET MOD - RWD,2:12.574,BRZ
13,511,Peter Granberg,CLUB TR - RWD,2:12.671,BRZ
14,184,Trip Walker,CLUB SC - FWD,2:14.435,FIT
15,199,Ian Flavin,CLUB TR - RWD,2:14.771,BRZ
16,525,Jeremy Lowder,UNLIMITED - RWD,2:15.221,CAMARO
17,67,Jonathan Denk,STREET MOD - FWD,2:16.977,CIVIC
18,117,Daniel Glasgow,CLUB SC - FWD,,FIT
19,540,Charles Bucky Lasek,STREET - AWD,,WRX
20,985,Dayton Delahoussaye,STREET MOD - RWD,,MX-5 MIATA
,,,,,
"Penalty - Car 117,  Ignore Checkered Flag Condition, Heat 6 times Invalidated, 5/10/25 13:35",,,,,
