TrackBattle Heat 4 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,171,Andrius Bertulis,UNLIMITED - RWD,1:41.157,RCF
2,404,David Bamforth,TRACK MOD - RWD,1:49.201,CAYMAN
3,675,Nick Aegerter,STREET - AWD,1:53.010,FOCUS
4,540,Charles Bucky Lasek,STREET - AWD,1:56.261,WRX
5,48,Jeremy Hensley,STREET - AWD,1:56.538,IMPREZA
6,470,Eddy Segal,STREET - FWD,1:57.986,CIVIC TYPE R
7,498,Bradley Folse,STREET - AWD,1:58.160,IMPREZA
8,40,Ben Bulthuis,STREET GT - RWD,1:58.349,GR SUPRA
9,985,Dayton Delahoussaye,STREET MOD - RWD,1:58.785,MX-5 MIATA
10,199,Ian Flavin,CLUB TR - RWD,1:59.192,BRZ
11,949,Evin Degirmencioglu,STREET GT - RWD,2:00.102,MUSTANG
12,511,Peter Granberg,CLUB TR - RWD,2:02.664,BRZ
13,230,Daniel Persing,CLUB TR - RWD,2:03.618,BRZ
14,218,Jason Mulderig,CLUB TR - RWD,2:03.786,S2000
15,69,Cody Umbaugh,STREET - FWD,2:04.332,CIVIC TYPE R
16,370,Sam Deuling,CLUB SC - FWD,2:05.138,FIT
17,202,Rebekah Cohen,STREET - FWD,2:05.363,CIVIC TYPE R
18,216,Nickolas Berg,CLUB SC - FWD,2:06.113,FIT
19,806,Jordan Gunther,CLUB TR - RWD,2:13.273,BRZ
20,525,Jeremy Lowder,UNLIMITED - RWD,,CAMARO
Official Results published - 5/9/25 10:51,,,,,
