TrackBattle Heat 5 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,171,Andrius Bertulis,UNLIMITED - RWD,1:41.774,RCF
2,525,Jeremy Lowder,UNLIMITED - RWD,1:43.938,CAMARO
3,571,John Laughlin,STREET - FWD,1:50.926,CIVIC
4,540,Charles Bucky Lasek,STREET - AWD,1:52.025,WRX
5,711,Hang Hu,TRACK MOD - RWD,1:53.256,MERCEDES-AMG GT
6,48,Jeremy Hensley,STREET - AWD,1:54.273,IMPREZA
7,498,Bradley Folse,STREET - AWD,1:54.585,IMPREZA
8,230,Daniel Persing,CLUB TR - RWD,1:55.707,BRZ
9,40,Ben Bulthuis,STREET GT - RWD,1:56.458,GR SUPRA
10,199,Ian Flavin,CLUB TR - RWD,1:57.255,BRZ
11,949,Evin Degirmencioglu,STREET GT - RWD,1:57.875,MUSTANG
12,218,Jason Mulderig,CLUB TR - RWD,1:58.845,S2000
13,194,Mike Callaway,STREET - AWD,1:59.347,IMPREZA
14,740,Alexis Fregoso,CLUB TR - FWD,2:00.582,RSX
15,511,Peter Granberg,CLUB TR - RWD,2:01.105,BRZ
16,504,Kameron Newman,STREET MOD - RWD,2:01.850,BRZ
17,202,Rebekah Cohen,STREET - FWD,2:03.037,CIVIC TYPE R
18,370,Sam Deuling,CLUB SC - FWD,2:03.386,FIT
19,216,Nickolas Berg,CLUB SC - FWD,2:05.235,FIT
20,67,Jonathan Denk,STREET MOD - FWD,2:08.105,CIVIC
21,184,Trip Walker,CLUB SC - FWD,2:13.026,FIT
22,204,Christopher Heideman,CLUB TR - RWD,2:17.655,S2000
23,985,Dayton Delahoussaye,STREET MOD - RWD,,MX-5 MIATA
24,117,Daniel Glasgow,CLUB SC - FWD,,FIT
"Penalty - Car 117, 4-off w/o self-report, heat 5 times invalidated, 5/10/25 11:20",,,,,
"Penalty - Car 985, 4-off w/o self-report, heat 5 times invalidated, 5/10/25 11:20",,,,,
