TrackBattle Heat 2 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,722,Feras Qartoumy,UNLIMITED - RWD,1:20.223,CORVETTE
2,830,Eric Fleming,UNLIMITED - RWD,1:23.925,CORVETTE
3,304,Allen Patten,TRACK MOD - RWD,1:24.655,CORVETTE
4,687,Jackie Ding,TRACK MOD - RWD,1:25.316,M2
5,196,Patrick Wilmot,UNLIMITED - RWD,1:25.911,MX-5 MIATA
6,338,Ernestas Puzelis,UNLIMITED - RWD,1:27.823,CORVETTE C6
7,121,Ryan Mathews,STREET MOD - RWD,1:29.183,CORVETTE
8,284,Jack Haddix,UNLIMITED - RWD,1:29.515,3 SERIES
9,70,Dewey Dewitt,STREET MOD - AWD,1:30.107,IMPREZA
10,903,Alexander Gallardo,UNLIMITED - RWD,1:30.704,350Z
11,82,Jaime Santos,STREET MOD - RWD,1:30.863,1 SERIES
12,525,Jeremy Lowder,UNLIMITED - RWD,1:31.250,CAMARO
13,33,Chris Boersma,TRACK MOD - FWD,1:31.293,CIVIC
14,171,Andrius Bertulis,UNLIMITED - RWD,1:31.357,RCF
15,14,Kal Fortner,STREET MOD - RWD,1:31.511,MERCEDES-AMG GT
16,773,Luie Zendejas,UNLIMITED - RWD,1:31.690,CORVETTE
17,440,Jonathan Wheeler,STREET MOD - RWD,1:32.186,370Z
18,211,Ryan Mathews,STREET GT - RWD,1:32.771,CORVETTE
19,909,Mark Kilgore,STREET GT - RWD,1:32.822,M4
20,4,Kevin Parlett,UNLIMITED - RWD,1:33.293,G
21,777,Joshua Halka,STREET - AWD,1:33.963,IMPREZA
22,63,Luca Barberis,STREET - AWD,1:34.155,LANCER
23,22,Team VitourP1.com,TRACK MOD - RWD,1:34.183,CORVETTE
24,717,Luke Mcgrew,STREET GT - RWD,1:34.299,Z06
25,269,Shawn Bassett,UNLIMITED - RWD,1:35.079,240Z
26,985,Dayton Delahoussaye,STREET MOD - RWD,1:35.630,MX-5 MIATA
27,96,Michael Young,TRACK MOD - RWD,1:37.189,Z06
28,727,Mario Mirone,CLUB TR - FWD,1:38.138,CIVIC
29,199,Ian Flavin,CLUB TR - RWD,1:38.328,BRZ
30,571,John Laughlin,STREET - FWD,1:38.329,CIVIC
31,13,Jerami Bailey,CLUB TR - RWD,1:38.437,FR-S
32,470,Eddy Segal,STREET - FWD,1:38.575,CIVIC TYPE R
33,466,Willem Drees,STREET - FWD,1:38.812,ELANTRA N
34,18,Kevin Vue,CLUB TR - FWD,1:40.038,INTEGRA
35,58,Grant White,STREET MOD - RWD,1:40.333,MUSTANG
36,711,Hang Hu,TRACK MOD - RWD,1:40.698,MERCEDES-AMG GT
37,504,Kameron Newman,STREET MOD - RWD,1:40.852,BRZ
38,69,Cody Umbaugh,STREET - FWD,1:41.102,CIVIC TYPE R
39,498,Bradley Folse,STREET - AWD,1:41.260,IMPREZA
40,224,Mike Day,CLUB TR - RWD,1:41.678,MX-5 MIATA
41,514,Evan Mclaren,CLUB TR - FWD,1:41.705,INTEGRA
42,145,Devin Hofmann,STREET MOD - AWD,1:41.986,WRX
43,675,Nick Aegerter,STREET - AWD,1:41.995,FOCUS
44,230,Daniel Persing,CLUB TR - RWD,1:41.996,BRZ
45,540,Charles Bucky Lasek,STREET - AWD,1:42.193,WRX
46,48,Jeremy Hensley,STREET - AWD,1:42.504,IMPREZA
47,511,Peter Granberg,CLUB TR - RWD,1:43.055,BRZ
48,740,Alexis Fregoso,CLUB TR - FWD,1:43.244,RSX
49,202,Rebekah Cohen,STREET - FWD,1:43.752,CIVIC TYPE R
50,218,Jason Mulderig,CLUB TR - RWD,1:43.914,S2000
51,421,Logan Kenseth,STREET MOD - RWD,1:46.060,CTS
52,83,Ben Ciric,STREET - RWD,1:46.924,370Z
53,806,Jordan Gunther,CLUB TR - RWD,1:47.806,BRZ
54,97,Mark Matyac,STREET GT - RWD,1:48.748,3 SERIES
55,67,Jonathan Denk,STREET MOD - FWD,1:49.053,CIVIC
56,129,Matt Williams,CLUB SC - FWD,1:49.526,FIT
