GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,82,Eric Kutil,GLTC - FWD,1:40.920,4,8,,25
2,90,Matt Waldbaum,GLTC - RWD,1:41.036,4,8,0.239,21
3,34,Austin Hertel,GLTC - RWD,1:42.210,4,8,1.494,18
4,99,Ronnie Vajdak,GLTC - FWD,1:42.108,4,8,1.082,16
5,484,Matan Rosenberg,GLTC - RWD,1:42.664,4,8,1.139,15
6,3,Jeremy Swenson,GLTC - RWD,1:41.482,2,8,1.047,14
7,7,Luke Mcgrew,GLTC - RWD,1:43.099,4,8,0.090,13
8,98,Andrew Rains,GLTC - RWD,1:42.153,4,8,0.502,12
9,17,Tony Marchev,GLTC - RWD,1:42.773,3,8,0.012,11
10,18,Colton Wade,GLTC - RWD,1:43.040,4,8,0.485,10
11,1,Gary Wimble,GLTC - RWD,1:42.694,4,8,0.219,9
12,71,Joel Morrison,GLTC - RWD,1:43.884,8,8,0.346,8
13,320,Eddie Nakato,GLTC - RWD,1:43.387,4,8,1.072,7
14,150,Alex Moss,GLTC - RWD,1:43.175,3,8,0.280,6
15,917,Lena Chin,GLTC - RWD,1:43.565,4,8,0.740,5
16,2,Erik Meadows,GLTC - RWD,1:43.883,4,8,0.170,4
17,14,Carlos Mendez,GLTC - RWD,1:43.978,8,8,0.011,3
18,26,Louis Chatroop,GLTC - RWD,1:43.419,8,8,0.592,2
19,41,James Houghton,GLTC - FWD,1:43.487,8,8,0.997,1
20,527,Jackson Jensen,GLTC - RWD,1:44.492,4,8,1.226,0
21,767,Wes Case,GLTC - RWD,1:43.917,6,8,0.446,0
22,245,Ryan Power,GLTC - RWD,1:43.430,8,8,2.233,0
23,4,Adam Ulrich,GLTC - RWD,1:43.191,8,8,0.250,0
24,333,Fiona Lou,GLTC - RWD,1:45.203,8,8,4.626,0
25,144,Vytis Aranauskas,GLTC - RWD,1:45.330,8,8,0.552,0
26,515,Thomas Moss,GLTC - RWD,1:45.976,8,8,1.137,0
27,207,Adam Wood,GLTC - AWD,1:45.999,8,8,0.270,0
28,541,Seth Gale,GLTC - FWD,1:47.003,2,8,2.309,0
29,32,Chandler Roe,GLTC - FWD,1:46.386,8,8,0.724,0
30,888,Dai Nguyen,GLTC - RWD,1:47.845,3,8,0.660,0
31,77,Hans Horpedahl,GLTC - RWD,1:43.920,8,8,0.004,0
32,618,Bob Dice,GLTC - FWD,1:47.906,3,8,1.851,0
33,528,Richard Sawicki,GLTC - RWD,1:47.588,8,8,1.357,0
34,860,Nathan Manning,GLTC - RWD,1:48.594,3,8,4.566,0
35,184,Eric Jensen,GLTC - RWD,1:42.229,2,3,5 Laps,0
36,13,Ryan Upham,GLTC - RWD,1:44.335,3,3,14.536,0
37,911,Julio Crispin,GLTC - RWD,1:45.678,3,3,0.293,0
38,85,Samuel Scott,GLTC - RWD,1:45.760,2,3,0.260,0
39,42,Zac Lovoy,GLTC - RWD,1:42.741,2,2,1 Lap,0
40,871,Aurimas Karosas,GLTC - RWD,1:47.112,2,2,18.015,0
DQ,132,Jake Joraanstad,GLTC - RWD,1:43.722,8,8,,0
DQ,410,Salil Shukla,GLTC - RWD,1:43.529,8,8,,0
