GLTC/A Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,GLTC - RWD,1:35.767,5,9,,25
2,7,Luke Mcgrew,GLTC - RWD,1:35.373,8,9,0.894,21
3,17,Tony Marchev,GLTC - RWD,1:35.720,8,9,0.919,18
4,82,Eric Kutil,GLTC - FWD,1:36.037,6,9,1.822,16
5,129,James Cathers,GLTC - RWD,1:35.978,4,9,4.735,15
6,715,Andy Smedegard,GLTC - RWD,1:35.762,6,9,0.404,14
7,19,Aaron Leichty,GLTC - RWD,1:35.953,7,9,1.206,13
8,55,Paul Darling,GLTC - RWD,1:36.256,9,9,3.346,12
9,202,Jake Price,GLTC - RWD,1:36.349,8,9,0.864,11
10,34,Austin Hertel,GLTC - RWD,1:36.593,8,9,1.809,10
11,45,Colton Wade,GLTC - RWD,1:36.521,8,9,2.468,9
12,109,Dana Basinski,GLTC - RWD,1:35.786,4,9,1.603,8
13,917,Lena Chin,GLTC - RWD,1:37.384,4,9,3.782,7
14,241,Tyler Pappas,GLTC - RWD,1:37.757,5,9,0.343,6
15,90,Matt Waldbaum,GLTC - RWD,1:37.000,3,9,0.211,5
16,83,Carlos Mendez,GLTC - RWD,1:37.130,9,9,0.754,4
17,207,Adam Wood,GLTC - AWD,1:37.435,6,9,4.637,3
18,4,Adam Ulrich,GLTC - RWD,1:37.559,8,9,1.421,2
19,222,Kyle Hale,GLTC - RWD,1:38.200,3,9,5.31,1
20,46,Ryan Kristoff,GLTC - FWD,1:38.362,5,9,0.372,0
21,144,Vytis Aranauskas,GLTC - RWD,1:38.524,7,9,2.106,0
22,10,Brian Tyson,GLTC - FWD,1:38.311,5,9,0.201,0
23,24,Dustin Bartee,GLTC - FWD,1:38.561,6,9,0.901,0
24,136,Austin Cobb,GLTC - RWD,1:38.657,5,9,0.888,0
25,85,Samuel Scott,GLTC - RWD,1:37.504,9,9,4.892,0
26,33,Thing 3 Racing,GLTC - RWD,1:38.363,5,9,17.503,0
27,32,Jake Joraanstad,GLTC - RWD,1:37.714,3,4,5 Laps,0
28,40,Jeremy Boysen,GLTC - FWD,,0,,4 Laps,0
29,337,Bryan Leonard,GLTC - RWD,,0,,,0
