GLTC/A Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,82,Eric Kutil,GLTC - FWD,1:35.607,7,9,,25
2,7,Luke Mcgrew,GLTC - RWD,1:35.679,5,9,4.288,21
3,484,Matan Rosenberg,GLTC - RWD,1:35.859,5,9,0.353,18
4,17,Tony Marchev,GLTC - RWD,1:35.733,7,9,5.486,16
5,129,James Cathers,GLTC - RWD,1:35.937,7,9,0.636,15
6,19,Aaron Leichty,GLTC - RWD,1:36.179,7,9,1.263,14
7,715,Andy Smedegard,GLTC - RWD,1:36.131,7,9,1.329,13
8,374,Emile Tabb,GLTC - RWD,1:36.889,6,9,4.91,12
9,34,Austin Hertel,GLTC - RWD,1:36.859,5,9,1.077,11
10,32,Jake Joraanstad,GLTC - RWD,1:36.579,9,9,1.377,10
11,55,Paul Darling,GLTC - RWD,1:36.670,7,9,2.983,9
12,90,Matt Waldbaum,GLTC - RWD,1:36.889,5,9,2.667,8
13,202,Jake Price,GLTC - RWD,1:37.272,7,9,1.762,7
14,1,Gary Wimble,GLTC - RWD,1:37.458,8,9,1.663,6
15,45,Colton Wade,GLTC - RWD,1:37.344,8,9,2.489,5
16,241,Tyler Pappas,GLTC - RWD,1:37.692,9,9,2.558,4
17,40,Jeremy Boysen,GLTC - FWD,1:37.817,8,9,0.71,3
18,85,Samuel Scott,GLTC - RWD,1:37.855,8,9,0.44,2
19,4,Adam Ulrich,GLTC - RWD,1:38.105,5,9,3.213,1
20,917,Lena Chin,GLTC - RWD,1:37.403,8,9,1.925,0
21,222,Kyle Hale,GLTC - RWD,1:38.373,3,9,0.671,0
22,49,Nicholas Barbato,GLTC - RWD,1:38.449,5,9,0.459,0
23,10,Brian Tyson,GLTC - FWD,1:38.043,5,9,2.156,0
24,207,Adam Wood,GLTC - AWD,1:37.726,5,9,0.359,0
25,83,Carlos Mendez,GLTC - RWD,1:37.997,8,9,1.324,0
26,109,Dana Basinski,GLTC - RWD,1:36.320,4,9,0.728,0
27,28,Peter Zhang,GLTC - RWD,1:37.132,5,6,3 Laps,0
28,41,James Houghton,GLTC - FWD,1:36.673,2,3,3 Laps,0
29,184,Eric Jensen,GLTC - RWD,1:37.651,3,3,10.522,0
30,52,Mackenzie Korince,GLTC - FWD,,0,,3 Laps,0
