GLTC/B Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,1:35.640,7,7,,3
2,3,Erik Meadows,GLTC - RWD,1:36.317,5,7,4.267,2
3,330,Eric Magnussen,GLTC - RWD,1:36.096,5,7,0.401,1
4,243,Kevin Zhu,GLTC - FWD,1:37.016,4,7,1.463,0
5,52,Mackenzie Korince,GLTC - FWD,1:37.520,3,7,7.696,0
6,28,Peter Zhang,GLTC - RWD,1:36.850,7,7,6.559,0
7,187,Chris Adams,GLTC - RWD,1:38.708,5,7,5.778,0
8,546,Andy Sundeen,GLTC - RWD,1:39.787,4,7,2.406,0
9,888,Dai Nguyen,GLTC - RWD,1:40.050,5,7,0.455,0
10,541,Seth Gale,GLTC - FWD,1:39.281,6,7,0.191,0
11,84,Thomas Lathrop,GLTC - RWD,1:39.384,6,7,1.08,0
12,444,John Gaydos,GLTC - RWD,1:40.237,7,7,2.597,0
13,43,Joe Tullo,GLTC - RWD,1:41.112,1,7,7.053,0
14,941,Marcandre Bourdages,GLTC - FWD,1:41.117,2,7,0.397,0
15,25,Nicolas Fuller,GLTC - RWD,1:40.593,3,7,0.615,0
16,100,Andrew Cowden,GLTC - RWD,1:44.155,6,7,25.448,0
17,290,Nick Boyeas,GLTC - FWD,1:49.045,6,7,34.61,0
18,2,Aryton Grim,GLTC - RWD,,0,,7 Laps,0
19,131,Lisa Keyes,GLTC - FWD,,0,,0.552,0
20,1,Gary Wimble,GLTC - RWD,,0,,,0
